"","x"
"1",0
"2",0.2
"3",2.5
"4",0
"5",0
"6",0.2
"7",0
"8",2.5
"9",2.5
"10",2.5
"11",2.5
"12",2.2
"13",2.5
"14",2.5
"15",0.2
"16",0
"17",0
"18",0.2
"19",2.5
"20",2.5
"21",3.5
"22",2.5
"23",0.2
"24",2.5
"25",2.5
"26",0
"27",2.5
"28",0
"29",2.5
"30",0
"31",2.5
"32",0.2
"33",2.5
"34",2.5
"35",0
"36",0.2
"37",2.5
"38",2.5
"39",3.5
"40",2.5
"41",2.5
"42",2.5
"43",2.5
"44",0.2
"45",0
"46",2.2
"47",2.5
"48",2.5
"49",2.5
"50",3.5
"51",3.5
"52",2.5
"53",0.2
"54",2.5
"55",2.5
"56",2.5
"57",2.5
"58",0
"59",2.5
"60",0.2
"61",2.5
"62",0
"63",0.2
"64",2.5
"65",0
"66",0
"67",0.2
"68",3.5
"69",0
"70",0
"71",3.5
"72",0.2
"73",0
"74",0.2
"75",0
"76",2.5
"77",3.5
"78",2.5
"79",0.2
"80",0.2
"81",2.2
"82",2.5
"83",2.5
"84",0.2
"85",0.2
"86",2.5
"87",0
"88",2.5
"89",0.2
"90",0
"91",2.5
"92",2.5
"93",2.5
"94",0.2
"95",0.2
"96",0
"97",2.5
"98",2.5
"99",2.5
"100",2.5
"101",0.2
"102",0
"103",0
"104",0
"105",0.2
"106",0
"107",0.2
"108",0.2
"109",0.2
"110",0.2
"111",2.5
"112",2.5
"113",0.2
"114",2.5
"115",0.2
"116",0.2
"117",0.2
"118",0
"119",2.5
"120",0
"121",2.5
"122",2.5
"123",0.2
"124",2.5
"125",3.5
"126",2.5
"127",2.5
"128",2.5
"129",0.2
"130",2.5
"131",2.5
"132",2.5
"133",2.5
"134",0
"135",0.2
"136",0
"137",2.5
"138",0.2
"139",0
"140",3.5
"141",0
"142",0
"143",2.5
"144",2.5
"145",3.5
"146",0
"147",2.5
"148",2.5
"149",2.5
"150",2.5
"151",0
"152",0
"153",2.5
"154",0.2
"155",2.5
"156",2.5
"157",2.5
"158",0.2
"159",0
"160",0.2
"161",2.5
"162",0.2
"163",2.2
"164",2.5
"165",0
"166",0
"167",0.2
"168",0.2
"169",2.5
"170",2.5
"171",2.5
"172",0
"173",0.2
"174",2.5
"175",2.5
"176",2.5
"177",0
"178",2.5
"179",0
"180",0
"181",2.5
"182",2.5
"183",2.5
"184",2.5
"185",2.5
"186",0.2
"187",0
"188",2.5
"189",0.2
"190",0.2
"191",0.2
"192",0.2
"193",0.2
"194",0
"195",0
"196",0
"197",0.2
"198",2.5
"199",2.5
"200",2.5
"201",0.2
"202",0
"203",2.5
"204",2.5
"205",0.2
"206",2.5
"207",2.5
"208",2.5
"209",2.2
"210",0.2
"211",2.5
"212",2.5
"213",0.2
"214",0.2
"215",0
"216",2.5
"217",0.2
"218",2.5
"219",2.5
"220",2.5
"221",0
"222",2.5
"223",2.5
"224",2.5
"225",3.2
"226",2.5
"227",2.5
"228",2.5
"229",2.5
"230",2.5
"231",0
"232",2.5
"233",0
"234",0
"235",2.5
"236",2.5
"237",0
"238",2.5
"239",0
"240",0.2
"241",0.2
"242",2.5
"243",0.2
"244",2.5
"245",2.2
"246",2.5
"247",0.2
"248",2.5
"249",0
"250",0.2
"251",0
"252",0.2
"253",2.5
"254",2.5
"255",2.5
"256",2.5
"257",3.5
"258",2.5
"259",2.5
"260",0.2
"261",2.5
"262",2.5
"263",2.5
"264",2.5
"265",2.5
"266",2.5
"267",2.5
"268",2.5
"269",3.5
"270",2.5
"271",2.5
"272",2.5
"273",0
"274",3.5
"275",3.2
"276",0.2
"277",3.2
"278",2.5
"279",0.2
"280",2.5
"281",0
"282",0
"283",2.5
"284",2.5
"285",2.5
"286",3.5
"287",2.5
"288",2.5
"289",2.5
"290",2.5
"291",0
"292",2.5
"293",3.5
"294",2.5
"295",2.5
"296",2.5
"297",0.2
"298",2.5
"299",3.5
"300",0
"301",2.5
"302",0
"303",3.5
"304",0.2
"305",0.2
"306",2.5
"307",3.5
"308",3.5
"309",3.5
"310",2.2
"311",0.2
"312",2.5
"313",2.5
"314",2.5
"315",0
"316",2.5
"317",2.5
"318",2.5
"319",2.5
"320",0
"321",2.5
"322",2.5
"323",2.5
"324",0
"325",0
"326",2.5
"327",2.5
"328",2.5
"329",3.5
"330",4.5
"331",2.5
"332",0
"333",2.5
"334",0
"335",0.2
"336",0
"337",0.2
"338",2.5
"339",0.2
"340",0
"341",0
"342",2.5
"343",2.5
"344",2.5
"345",2.5
"346",0
"347",0
"348",0.2
"349",2.5
"350",2.5
"351",2.5
"352",0
"353",2.5
"354",2.5
"355",2.5
"356",0
"357",0.2
"358",2.2
"359",2.5
"360",2.5
"361",2.2
"362",0.2
"363",0
"364",2.5
"365",3.5
"366",2.5
"367",2.5
"368",3.5
"369",2.5
"370",2.5
"371",0.2
"372",2.5
"373",2.5
"374",2.5
"375",2.5
"376",2.5
"377",2.5
"378",3.5
"379",2.5
"380",3.5
"381",4.5
"382",2.5
"383",4.5
"384",2.5
"385",3.5
"386",0
"387",2.5
"388",0
"389",2.5
"390",2.5
"391",0.2
"392",2.5
"393",2.5
"394",0.2
"395",2.5
"396",2.5
"397",0.2
"398",0
"399",0.2
"400",2.5
"401",0
"402",2.5
"403",0
"404",2.5
"405",2.5
"406",0
"407",0.2
"408",2.5
"409",2.5
"410",0
"411",2.5
"412",2.5
"413",3.5
"414",0
"415",2.5
"416",0.2
"417",2.5
"418",2.5
"419",0
"420",2.5
"421",2.5
"422",2.5
"423",2.5
"424",0
"425",2.5
"426",2.5
"427",0.2
"428",2.5
"429",0
"430",2.5
"431",2.5
"432",2.5
"433",2.5
"434",2.5
"435",2.5
"436",2.5
"437",0.2
"438",2.5
"439",0
"440",3.5
"441",3.5
"442",2.5
"443",0.2
"444",0.2
"445",2.5
"446",0.2
"447",2.2
"448",2.5
"449",2.5
"450",2.5
"451",2.5
"452",3.5
"453",2.5
"454",2.5
"455",2.5
"456",4.5
"457",2.5
"458",0
"459",2.5
"460",2.5
"461",3.5
"462",2.5
"463",0.2
"464",0.2
"465",2.5
"466",2.5
"467",2.5
"468",2.5
"469",2.5
