"","x"
"1",0.2
"2",3.5
"3",3.5
"4",2.5
"5",2.2
"6",2.2
"7",2.5
"8",4.2
"9",3.5
"10",2.5
"11",2.5
"12",3.5
"13",2.2
"14",2.5
"15",3.5
"16",2.5
"17",2.5
"18",2.5
"19",3.5
"20",3.2
"21",3.7
"22",3.5
"23",2.2
"24",3.5
"25",2.5
"26",2.5
"27",2.5
"28",2.5
"29",2.5
"30",0.2
"31",2.5
"32",2.5
"33",2.5
"34",2.5
"35",0.2
"36",2.5
"37",4.5
"38",4.5
"39",3.5
"40",2.5
"41",2.5
"42",2.5
"43",2.5
"44",2.5
"45",2.5
"46",2.2
"47",3.5
"48",3.5
"49",3.5
"50",4.5
"51",4.5
"52",3.2
"53",2.5
"54",2.5
"55",3.5
"56",2.5
"57",2.5
"58",3.5
"59",3.2
"60",2.5
"61",2.5
"62",0.2
"63",2.5
"64",3.5
"65",3.5
"66",2.5
"67",2.5
"68",3.7
"69",2.5
"70",2.5
"71",3.5
"72",2.5
"73",2.5
"74",2.5
"75",2.5
"76",2.5
"77",3.5
"78",2.5
"79",2.5
"80",0.2
"81",2.2
"82",2.5
"83",2.5
"84",2.5
"85",2.5
"86",2.5
"87",2.2
"88",2.5
"89",2.5
"90",0
"91",2.5
"92",2.5
"93",2.5
"94",0.2
"95",2.5
"96",2.5
"97",2.5
"98",2.5
"99",2.5
"100",2.5
"101",2.5
"102",3.7
"103",2.5
"104",0.2
"105",2.5
"106",0.2
"107",2.5
"108",3.5
"109",2.5
"110",2.5
"111",2.5
"112",2.5
"113",2.5
"114",4.5
"115",2.5
"116",2.5
"117",2.5
"118",2.5
"119",3.5
"120",0.2
"121",2.5
"122",2.5
"123",2.5
"124",2.5
"125",3.5
"126",2.5
"127",2.5
"128",2.5
"129",2.5
"130",2.5
"131",3.5
"132",2.5
"133",2.7
"134",3.5
"135",3.5
"136",2.5
"137",2.5
"138",2.5
"139",2.2
"140",3.5
"141",3.5
"142",2.5
"143",2.5
"144",2.5
"145",3.5
"146",0.2
"147",2.5
"148",2.5
"149",3.5
"150",2.5
"151",0.2
"152",2.2
"153",2.5
"154",0.2
"155",2.5
"156",3.5
"157",2.5
"158",2.5
"159",2.5
"160",2.5
"161",2.5
"162",2.5
"163",2.5
"164",3.5
"165",0
"166",2.5
"167",2.5
"168",2.5
"169",2.5
"170",3.5
"171",2.5
"172",2.5
"173",2.5
"174",2.5
"175",2.5
"176",2.5
"177",0
"178",2.5
"179",0.2
"180",2.5
"181",3.5
"182",2.5
"183",3.5
"184",2.5
"185",2.5
"186",2.5
"187",2.5
"188",3.2
"189",2.5
"190",2.5
"191",2.5
"192",2.5
"193",2.5
"194",2.5
"195",0
"196",0.2
"197",2.5
"198",2.5
"199",2.5
"200",2.5
"201",3.5
"202",0.2
"203",2.5
"204",3.7
"205",2.2
"206",2.5
"207",3.5
"208",2.5
"209",2.5
"210",2.5
"211",2.5
"212",2.5
"213",0.2
"214",2.5
"215",2.5
"216",3.5
"217",2.2
"218",2.5
"219",2.5
"220",3.5
"221",2.5
"222",3.2
"223",3.7
"224",2.5
"225",3.5
"226",3.5
"227",4.5
"228",3.5
"229",2.5
"230",2.5
"231",0
"232",2.5
"233",0
"234",0
"235",2.5
"236",0
"237",2.5
"238",2.5
"239",0.2
"240",2.5
"241",2.5
"242",3.5
"243",2.5
"244",2.5
"245",2.5
"246",3.5
"247",2.2
"248",2.5
"249",2.5
"250",2.5
"251",0.2
"252",2.5
"253",2.5
"254",2.5
"255",3.7
"256",3.7
"257",4.5
"258",3.5
"259",2.5
"260",2.5
"261",3.5
"262",2.5
"263",3.5
