"","x"
"1",3.5
"2",2.5
"3",2.5
"4",2.5
"5",3.2
"6",3.2
"7",3.5
"8",0.5
"9",0
"10",3.5
"11",2.5
"12",0
"13",2.2
"14",2.5
"15",2.5
"16",2.5
"17",3.5
"18",2.2
"19",0
"20",2.5
"21",3.5
"22",2.5
"23",2.2
"24",4.5
"25",3.7
"26",3.5
"27",3.5
"28",2.5
"29",2.5
"30",2.5
"31",2.5
"32",3.5
"33",2.5
"34",2.5
"35",3.5
"36",3.5
"37",2.5
"38",0
"39",2.5
"40",4.7
"41",4.5
"42",4.5
"43",3.5
"44",3.5
"45",2.5
"46",2.5
"47",2.5
"48",4.5
"49",2.5
"50",2.5
"51",2.5
"52",2.5
"53",2.5
"54",2.5
"55",2.5
"56",3.5
"57",3.5
"58",3.5
"59",2.5
"60",2.5
"61",4.5
"62",3.5
"63",3.5
"64",2.5
"65",3.5
"66",4.5
"67",4.2
"68",4.5
"69",2.5
"70",2.5
"71",4.5
"72",3.5
"73",2.5
"74",3.5
"75",4.5
"76",4.5
"77",4.2
"78",3.5
"79",3.5
"80",3.5
"81",3.5
"82",2.5
"83",3.5
"84",3.5
"85",3.5
"86",3.5
"87",3.5
"88",4.3
"89",4.5
"90",2.5
"91",3.5
"92",2.5
"93",2.5
"94",3.5
"95",0
"96",2.5
"97",3.5
"98",3.7
"99",2.5
"100",3.5
"101",3.5
"102",2.5
"103",2.5
"104",3.5
"105",2.5
"106",3.5
"107",4.5
"108",2.5
"109",3.5
"110",3.5
"111",3.5
"112",3.5
"113",3.5
"114",4.5
"115",4.5
"116",3.5
"117",3.5
"118",3.5
"119",3.5
"120",2.5
"121",2.5
"122",3.5
"123",3.5
"124",3.5
"125",3.5
"126",3.5
"127",4.5
"128",2.5
"129",3.5
"130",2.5
"131",2.5
"132",4.5
"133",3.7
"134",0
"135",3.5
"136",2.5
"137",3.5
"138",2.5
"139",0
"140",2.5
"141",4.5
"142",3.5
"143",2.5
"144",2.5
"145",2.5
"146",2.5
"147",2.5
"148",3.5
"149",2.5
"150",2.5
"151",2.5
"152",2.5
"153",3.5
"154",2.5
"155",2.5
"156",3.5
"157",3.5
"158",3.5
"159",0
"160",4.2
"161",2.5
"162",2.5
"163",2.5
"164",2.5
"165",3.5
"166",2.5
"167",2.5
"168",4.2
"169",4.5
"170",4.2
"171",4.5
"172",3.5
"173",3.5
"174",2.5
"175",3.7
"176",3.7
"177",3.5
"178",3.5
"179",2.2
"180",2.5
"181",2.5
"182",3.7
"183",4.5
"184",3.5
"185",3.7
"186",4.5
"187",3.5
"188",0.2
"189",3.5
"190",3.5
"191",2.5
"192",2.5
"193",3.7
"194",3.5
"195",3.5
"196",3.5
"197",4.5
"198",3.5
"199",4.5
"200",2.5
"201",2.5
"202",3.5
"203",3.5
"204",0
"205",3.5
"206",3.5
"207",2.5
"208",2.5
"209",2.5
"210",3.5
"211",3.5
"212",2.5
"213",2.5
"214",2.5
"215",2.5
"216",0
"217",3.5
"218",4.5
"219",3.5
"220",2.5
"221",3.5
"222",2.5
"223",2.5
"224",3.7
"225",2.5
"226",2.5
"227",0
"228",2.5
"229",2.5
"230",2.5
"231",0
"232",2.5
"233",4.7
"234",3.5
"235",3.7
"236",4.5
"237",2.5
"238",2.5
"239",0.2
"240",3.5
"241",3.2
"242",0
"243",2.5
"244",2.5
"245",2.5
"246",0
"247",3.5
"248",3.5
"249",3.5
"250",3.5
"251",3.5
"252",3.5
"253",2.5
"254",3.2
"255",2.5
"256",2.2
"257",2.5
"258",2.2
"259",2.5
"260",2.5
"261",2.5
"262",2.5
"263",0
"264",2.5
"265",2.5
"266",2.5
"267",2.5
"268",2.5
"269",4.5
"270",2.5
"271",3.5
"272",2.5
"273",3.5
"274",2.5
"275",3.5
"276",3.5
"277",3.5
"278",2.5
"279",4.5
"280",2.5
"281",3.7
"282",3.5
"283",2.5
"284",2.5
"285",3.5
"286",2.5
"287",2.5
"288",4.5
"289",3.7
"290",3.5
"291",4.7
"292",4.5
"293",3.7
"294",2.5
"295",4.5
"296",3.5
"297",2.5
"298",2.5
"299",2.5
"300",3.5
"301",2.2
"302",4.5
"303",2.5
"304",2.2
"305",3.5
"306",4.5
"307",3.5
"308",2.5
"309",3.7
"310",2.2
"311",2.5
"312",2.5
"313",0
"314",0
"315",3.5
"316",2.5
"317",3.5
"318",2.5
"319",2.5
"320",2.5
"321",2.5
"322",2.5
"323",2.5
"324",3.5
"325",3.5
"326",2.5
"327",2.5
"328",2.5
"329",0
"330",2.5
"331",2.5
"332",3.5
"333",3.5
"334",3.5
"335",3.5
"336",3.5
"337",0.2
"338",2.5
"339",2.5
"340",3.5
"341",2.5
"342",2.5
"343",2.5
"344",2.5
"345",2.5
"346",2.5
"347",3.5
"348",2.2
"349",0
"350",2.2
"351",3.5
"352",3.5
"353",2.5
"354",3.5
"355",3.5
"356",2.5
"357",2.5
"358",2.5
"359",2.5
"360",2.5
"361",3.5
"362",3.5
"363",2.5
"364",2.5
"365",0.2
"366",3.7
"367",2.5
"368",3.5
"369",2.5
"370",2.5
"371",2.5
"372",3.7
"373",4.7
"374",3.5
"375",3.7
"376",3.7
"377",2.5
"378",2.5
"379",2.5
"380",0.2
"381",2.5
"382",2.5
"383",4.5
"384",2.5
"385",3.5
"386",3.5
"387",3.5
"388",4.5
"389",3.7
"390",3.5
"391",3.5
"392",3.7
"393",0
"394",0
"395",2.5
"396",3.5
"397",3.5
"398",3.5
"399",3.5
"400",3.5
"401",3.5
