"","x"
"1",4.7
"2",4.2
"3",4.7
"4",4.5
"5",4.7
"6",4.2
"7",3.7
"8",4.7
"9",3.7
"10",4.7
"11",4.7
"12",3.7
"13",4.2
"14",4.2
"15",3.7
"16",4.7
"17",3.7
"18",4.7
"19",4.7
"20",4.7
"21",4.2
"22",4.5
"23",4.2
"24",4.7
"25",3.7
"26",4.2
"27",4.7
"28",4.7
"29",4.7
"30",4.7
"31",4.7
"32",4.7
"33",4.7
"34",3.7
"35",4.7
"36",4.7
"37",4.7
"38",4.7
"39",4.7
"40",4.7
"41",4.7
"42",4.2
"43",4.2
"44",4.7
"45",3.7
"46",4.2
"47",4.7
"48",4.7
"49",4.7
"50",4.7
"51",4.7
"52",4.7
"53",3.7
"54",4.7
"55",4.7
"56",4.7
"57",4.7
"58",3.7
"59",4.7
"60",4.7
"61",4.7
"62",4.7
"63",4.2
"64",3.7
"65",3.7
"66",4.7
"67",4.2
"68",4.7
"69",4.7
"70",4.7
"71",4.5
"72",4.2
"73",4.2
"74",4.7
"75",4.9
"76",4.7
"77",4.7
"78",4.7
"79",4.5
"80",4.2
"81",4.7
"82",4.7
"83",4.2
"84",4.7
"85",4.7
"86",4.7
"87",4.7
"88",5
"89",4.5
"90",3.7
"91",4.7
"92",4.7
"93",3.5
"94",4.7
"95",3.7
"96",4.2
"97",4.7
"98",4.2
"99",4.5
"100",4.7
"101",4.2
"102",4.7
"103",4.7
"104",4.5
"105",4.5
"106",3.7
"107",4.7
"108",4.7
"109",4.7
"110",4.7
"111",4.2
"112",4.2
"113",4.7
"114",3.7
"115",4.7
"116",4.2
"117",4.2
"118",4.2
"119",4.2
"120",3.7
"121",4.7
"122",4.7
"123",4.7
"124",4.7
"125",4.7
"126",4.7
"127",4.2
"128",4.7
"129",4.7
"130",3.7
"131",4.2
"132",4.2
"133",4.7
"134",4.9
"135",4.7
"136",4.7
"137",4.7
"138",4.7
"139",4.2
"140",4.7
"141",4.7
"142",4.7
"143",4.7
"144",3.7
"145",4.7
"146",3.7
"147",4.5
"148",4.7
"149",2.7
"150",3.7
"151",3.7
"152",4.7
"153",4.7
"154",4.7
"155",4.2
"156",4.2
"157",4.7
"158",4.7
"159",2.7
"160",4.7
"161",4.2
"162",3.7
"163",4.7
"164",3.7
"165",4.7
"166",3.7
"167",4.7
"168",4.7
"169",4.7
"170",4.2
"171",4.7
"172",3.7
"173",4.2
"174",4.7
"175",4.7
"176",4.7
"177",4.7
"178",4.7
"179",4.2
"180",4.7
"181",4.7
"182",4.7
"183",4.2
"184",4.7
"185",4.7
"186",4.7
"187",4.5
"188",4.5
"189",4.7
"190",4.2
"191",4.2
"192",4.2
"193",4.7
"194",4.7
"195",4.7
"196",4.7
"197",4.7
"198",4.7
"199",4.7
"200",4.2
"201",4.7
"202",4.2
"203",4.2
"204",4.7
"205",4.2
"206",4.7
"207",3.7
"208",4.7
"209",4.2
"210",4.7
"211",4.7
"212",4.7
"213",4.7
"214",4.7
"215",4.7
"216",4.7
"217",4.2
"218",4.7
"219",4.7
"220",4.7
"221",4.7
"222",4.2
"223",4.7
"224",4.9
"225",3.7
"226",4.7
"227",3.7
"228",4.2
"229",4.2
"230",4.2
"231",4.7
"232",4.7
"233",4.9
"234",4.7
"235",4.7
"236",4.7
"237",4.2
"238",4.7
"239",4.7
"240",4.7
"241",4.7
"242",4.7
"243",4.7
"244",4.2
"245",4.2
"246",3.7
"247",4.7
"248",4.5
"249",4.2
"250",4.5
"251",4.7
"252",4.2
"253",4.2
"254",4.7
"255",4.7
"256",4.2
"257",4.5
"258",4.7
"259",4.7
"260",4.2
"261",4.7
"262",4.2
"263",4.2
"264",3.7
"265",4.7
"266",4.2
"267",4.7
"268",3.7
"269",4.7
"270",4.7
"271",4.7
"272",4.7
"273",4.7
"274",4.7
"275",4.7
"276",4.7
"277",4.2
"278",4.7
"279",4.9
"280",4.7
"281",4.7
"282",4.7
"283",4.7
"284",4.7
"285",4.7
"286",4.2
"287",4.2
"288",4.7
"289",4.7
"290",4.7
"291",4.7
"292",4.7
"293",4.7
"294",4.7
"295",4.7
"296",4.7
"297",4.7
"298",4.5
"299",4.7
"300",3.7
"301",4.2
"302",4.7
"303",4.7
"304",3.7
"305",4.2
"306",4.7
"307",4.5
"308",3.7
"309",4.7
"310",4.7
"311",4.2
"312",4.7
"313",4.7
"314",4.2
"315",4.2
"316",3.7
"317",3.7
"318",4.7
"319",4.7
"320",4.7
"321",4.7
"322",4.7
"323",4.5
"324",4.2
"325",4.2
"326",4.7
"327",4.7
"328",4.7
"329",4.7
"330",4.7
"331",3.7
"332",4.7
"333",4.7
"334",4.7
"335",4.7
"336",4.5
"337",3.7
"338",4.5
"339",4.7
"340",4.2
"341",4.2
"342",4.7
"343",4.2
"344",3.7
"345",4.2
"346",3.7
"347",4.7
"348",4.7
"349",3.7
"350",4.7
"351",4.7
"352",4.7
"353",3.7
"354",4.5
"355",4.5
"356",4.7
"357",4.2
"358",4.7
"359",4.7
"360",4.7
"361",4.7
"362",4.7
"363",4.2
"364",4.7
"365",4.9
"366",4.7
"367",4.7
"368",4.7
"369",4.7
"370",4.7
"371",4.7
"372",4.7
"373",4.7
"374",4.2
"375",4.7
"376",4.7
"377",4.7
"378",4.7
"379",4.7
"380",4.7
"381",4.7
"382",4.7
"383",3.7
"384",4.2
"385",4.7
"386",4.7
"387",4.7
"388",4.7
"389",4.7
"390",4.7
"391",4.7
"392",4.7
"393",4.7
"394",4.2
"395",4.7
"396",4.7
"397",4.7
"398",4.7
"399",4.7
"400",4.2
"401",4.7
"402",4.7
"403",4.2
"404",3.7
"405",4.2
"406",3.7
"407",4.7
"408",3.7
"409",4.2
"410",4.7
"411",4.7
"412",4.7
"413",4.7
"414",4.2
"415",4.5
"416",4.7
"417",4.7
"418",4.5
"419",4.7
"420",4.7
"421",4.7
"422",4.7
"423",4.7
"424",4.7
"425",4.7
"426",4.2
"427",4.7
"428",4.7
"429",4.7
"430",4.7
"431",4.7
"432",4.7
"433",4.7
"434",3.7
"435",4.7
"436",4.2
"437",4.7
"438",4.2
"439",4.5
"440",4.2
"441",4.2
"442",4.5
"443",4.7
"444",4.7
"445",4.7
"446",4.7
"447",3.2
"448",4.5
"449",4.2
"450",4.7
"451",4.2
"452",4.7
"453",4.7
"454",4.7
"455",4.2
"456",4.5
"457",4.7
"458",4.2
"459",4.7
"460",4.7
"461",4.7
"462",4.7
"463",4.7
"464",4.7
"465",3.5
"466",4.7
"467",4.7
"468",4.7
"469",4.7
