"","x"
"1",4.2
"2",2.5
"3",3.7
"4",3.5
"5",3.7
"6",3.5
"7",3.2
"8",3.7
"9",3.2
"10",3.7
"11",3.7
"12",3.2
"13",3.2
"14",3.5
"15",3.5
"16",4.5
"17",3.2
"18",3.7
"19",4.2
"20",3.7
"21",3.5
"22",3.7
"23",3.2
"24",4.7
"25",3.7
"26",3.5
"27",3.7
"28",3.7
"29",3.5
"30",3.7
"31",3.7
"32",4.2
"33",3.7
"34",3.7
"35",4.2
"36",3.7
"37",4.2
"38",4.2
"39",4.2
"40",4.5
"41",4.5
"42",3.7
"43",3.7
"44",4.5
"45",3.2
"46",3.7
"47",4.2
"48",4.5
"49",4.2
"50",4.5
"51",4.5
"52",4.2
"53",2.7
"54",3.7
"55",3.7
"56",4.5
"57",4.2
"58",3.5
"59",3.7
"60",4.2
"61",4.2
"62",4.2
"63",3.7
"64",2.2
"65",3.2
"66",3.7
"67",3.5
"68",3.7
"69",3.5
"70",3.5
"71",4.5
"72",3.7
"73",3.5
"74",4.5
"75",4.5
"76",4.5
"77",3.7
"78",3.7
"79",3.5
"80",3.7
"81",3.2
"82",3.5
"83",3.7
"84",4.2
"85",3.7
"86",3.7
"87",4.2
"88",4.2
"89",3.5
"90",3.2
"91",3.7
"92",3.2
"93",3.5
"94",3.7
"95",3.2
"96",3.7
"97",4.2
"98",3.7
"99",3.5
"100",3.7
"101",3.7
"102",3.2
"103",3.5
"104",3.5
"105",3.5
"106",3.7
"107",3.5
"108",3.5
"109",4.2
"110",3.5
"111",3.7
"112",3.7
"113",3.7
"114",3.5
"115",3.5
"116",3.7
"117",3.5
"118",3.7
"119",3.5
"120",2.5
"121",3.7
"122",3.7
"123",3.7
"124",3.7
"125",4.2
"126",4.2
"127",3.2
"128",3.7
"129",3.7
"130",3.7
"131",3.7
"132",3.5
"133",3.7
"134",2.5
"135",4.5
"136",3.7
"137",3.7
"138",3.5
"139",2.5
"140",3.5
"141",4.5
"142",4.2
"143",3.7
"144",3.7
"145",4.2
"146",3.5
"147",3.5
"148",3.7
"149",2.5
"150",3.2
"151",2.5
"152",3.7
"153",3.5
"154",3.2
"155",3.2
"156",3.7
"157",4.5
"158",3.5
"159",2.5
"160",3.7
"161",3.5
"162",2.5
"163",3.7
"164",4.5
"165",2.5
"166",3.2
"167",3.7
"168",4.2
"169",3.7
"170",4.2
"171",4.5
"172",3.2
"173",3.2
"174",3.5
"175",3.7
"176",3.7
"177",2.5
"178",4.2
"179",3.2
"180",3.5
"181",4.2
"182",3.5
"183",3.7
"184",4.2
"185",3.5
"186",3.7
"187",3.5
"188",3.7
"189",3.7
"190",3.7
"191",3.2
"192",3.2
"193",3.7
"194",3.7
"195",3.5
"196",3.5
"197",3.5
"198",3.7
"199",4.2
"200",3.5
"201",4.2
"202",3.5
"203",3.7
"204",3.7
"205",3.7
"206",3.5
"207",3.2
"208",3.2
"209",3.7
"210",3.7
"211",3.5
"212",3.2
"213",3.2
"214",3.7
"215",3.5
"216",3.7
"217",3.7
"218",4.2
"219",4.5
"220",4.2
"221",3.2
"222",3.7
"223",3.7
"224",4.7
"225",3.7
"226",3.7
"227",3.5
"228",3.5
"229",3.7
"230",3.7
"231",3.2
"232",3.7
"233",4.5
"234",3.5
"235",3.5
"236",3.5
"237",3.5
"238",3.5
"239",4.2
"240",3.5
"241",4.2
"242",3.7
"243",3.7
"244",3.2
"245",3.7
"246",3.2
"247",3.7
"248",3.5
"249",3.5
"250",3.5
"251",4.2
"252",3.2
"253",3.5
"254",3.7
"255",3.7
"256",3.7
"257",3.5
"258",3.7
"259",3.7
"260",3.2
"261",3.7
"262",3.7
"263",4.2
"264",3.7
"265",3.5
"266",3.7
"267",3.7
"268",3.5
"269",3.7
"270",4.2
"271",4.2
"272",4.5
"273",3.7
"274",4.5
"275",4.5
"276",4.5
"277",3.7
"278",4.5
"279",3.5
"280",4.5
"281",3.7
"282",3.7
"283",3.7
"284",3.7
"285",3.7
"286",3.7
"287",3.7
"288",4.5
"289",4.7
"290",3.7
"291",4.7
"292",4.5
"293",4.7
"294",3.5
"295",4.5
"296",3.5
"297",3.5
"298",3.7
"299",4.7
"300",3.2
"301",2.7
"302",4.5
"303",4.5
"304",3.2
"305",4.2
"306",3.7
"307",3.7
"308",2.5
