"","x"
"1",4.5
"2",3.5
"3",4.5
"4",3.5
"5",3.5
"6",3.5
"7",3.5
"8",4.5
"9",3.5
"10",3.5
"11",3.5
"12",3.5
"13",2.5
"14",3.5
"15",3.5
"16",2.5
"17",4.5
"18",3.5
"19",3.5
"20",4.5
"21",4.5
"22",4.2
"23",3.5
"24",4.5
"25",3.5
"26",4.5
"27",3.5
"28",2.5
"29",3.5
"30",3.5
"31",4.5
"32",4.5
"33",3.5
"34",3.5
"35",3.5
"36",4.5
"37",4.5
"38",4.5
"39",4.5
"40",4.5
"41",4.5
"42",4.5
"43",4.5
"44",4.5
"45",3.5
"46",3.5
"47",4.5
"48",4.5
"49",4.5
"50",4.5
"51",4.5
"52",3.5
"53",3.5
"54",3.5
"55",3.5
"56",4.5
"57",4.5
"58",4.5
"59",3.5
"60",2.5
"61",4.5
"62",4.5
"63",4.5
"64",4.5
"65",4.5
"66",4.5
"67",4.5
"68",4.5
"69",4.5
"70",3.5
"71",4.5
"72",4.5
"73",3.5
"74",4.5
"75",4.5
"76",4.5
"77",4.5
"78",3.5
"79",3.5
"80",3.5
"81",3.5
"82",3.5
"83",3.5
"84",3.5
"85",4.5
"86",4.5
"87",2.5
"88",4.5
"89",3.5
"90",2.5
"91",4.5
"92",3.5
"93",4.5
"94",3.5
"95",3.5
"96",3.5
"97",4.5
"98",3.5
"99",3.5
"100",4.5
"101",3.5
"102",4.5
"103",2.5
"104",2.5
"105",4.5
"106",3.5
"107",4.5
"108",3.5
"109",3.5
"110",4.5
"111",3.5
"112",4.5
"113",3.5
"114",4.5
"115",3.5
"116",3.5
"117",3.5
"118",4.5
"119",4.5
"120",3.5
"121",3.5
"122",4.5
"123",3.5
"124",4.5
"125",4.5
"126",4.5
"127",4.5
"128",3.5
"129",3.5
"130",3.5
"131",3.5
"132",3.5
"133",4.5
"134",2.5
"135",4.5
"136",3.5
"137",4.5
"138",2.5
"139",3.5
"140",4.5
"141",4.5
"142",4.5
"143",3.5
"144",3.5
"145",3.5
"146",3.5
"147",3.5
"148",4.5
"149",3.5
"150",3.5
"151",3.5
"152",3.5
"153",3.5
"154",2.5
"155",4.5
"156",4.5
"157",4.5
"158",4.5
"159",3.5
"160",4.5
"161",3.5
"162",2.5
"163",3.5
"164",2.5
"165",3.5
"166",4.5
"167",3.5
"168",4.5
"169",4.5
"170",3.5
"171",4.5
"172",4.5
"173",3.5
"174",4.5
"175",4.5
"176",4.5
"177",3.5
"178",3.5
"179",3.5
"180",3.5
"181",4.5
"182",3.5
"183",4.5
"184",3.5
"185",4.5
"186",4.5
"187",3.5
"188",3.5
"189",3.5
"190",3.5
"191",4.2
"192",4.2
"193",4.5
"194",4.2
"195",4.5
"196",3.5
"197",3.5
"198",3.5
"199",4.5
"200",3.5
"201",3.5
"202",4.5
"203",3.5
"204",3.5
"205",4.2
"206",3.5
"207",0
"208",3.5
"209",3.5
"210",4.5
"211",4.5
"212",4.5
"213",3.5
"214",3.5
"215",3.5
"216",3.5
"217",3.5
"218",4.5
"219",4.5
"220",3.5
"221",3.5
"222",3.5
"223",4.7
"224",3.5
"225",4.5
"226",3.5
"227",3.5
"228",4.5
"229",3.5
"230",3.5
"231",3.5
"232",3.5
"233",4.5
"234",3.5
"235",4.5
"236",4.5
"237",3.5
"238",3.5
"239",2.5
"240",3.5
"241",3.5
"242",4.5
"243",3.5
"244",3.5
"245",3.5
"246",4.5
"247",4.5
"248",3.5
"249",3.5
"250",4.5
"251",4.5
"252",4.5
"253",3.5
"254",3.5
"255",4.5
"256",4.2
"257",4.5
"258",4.5
"259",3.5
"260",2.5
"261",4.5
"262",3.5
"263",3.5
"264",4.5
"265",3.5
"266",4.5
"267",3.5
"268",4.5
"269",4.5
"270",4.5
"271",4.5
"272",3.5
"273",2.5
"274",4.5
"275",4.5
"276",3.5
