"","x"
"1",2.5
"2",3.7
"3",2.5
"4",3.5
"5",3.5
"6",3.5
"7",4.5
"8",4.5
"9",4.5
"10",4.5
"11",3.5
"12",2.5
"13",3.5
"14",2.5
"15",2.5
"16",3.5
"17",2.5
"18",3.5
"19",2.5
"20",2.5
"21",3.5
"22",4.2
"23",3.5
"24",4.2
"25",2.5
"26",2.5
"27",2.5
"28",3.5
"29",2.5
"30",4.5
"31",2.5
"32",2.5
"33",3.5
"34",3.5
"35",4.5
"36",3.5
"37",3.5
"38",3.5
"39",4.2
"40",3.5
"41",4.5
"42",4.5
"43",4.3
"44",3.5
"45",3.5
"46",4.2
"47",3.5
"48",3.5
"49",3.5
"50",3.5
"51",4.5
"52",3.5
"53",2.5
"54",2.5
"55",3.5
"56",3.5
"57",2.5
"58",2.5
"59",2.5
"60",2.5
"61",2.5
"62",0
"63",4.5
"64",2.5
"65",2.5
"66",2.5
"67",2.5
"68",0.2
"69",4.5
"70",4.5
"71",3.5
"72",2.5
"73",3.7
"74",4.5
"75",3.5
"76",2.5
"77",3.5
"78",3.5
"79",3.5
"80",4.3
"81",3.5
"82",3.5
"83",3.5
"84",4.5
"85",4.5
"86",3.5
"87",3.5
"88",3.5
"89",3.5
"90",3.5
"91",4.2
"92",3.5
"93",4.5
"94",4.5
"95",4.3
"96",3.5
"97",3.5
"98",4.2
"99",2.5
"100",3.5
"101",3.5
"102",4.2
"103",4.5
"104",2.5
"105",2.2
"106",2.5
"107",2.5
"108",3.5
"109",2.5
"110",0
"111",2.5
"112",3.2
"113",2.5
"114",0
"115",3.5
"116",4.5
"117",2.5
"118",0
"119",0
"120",0
"121",4.2
"122",4.5
"123",3.5
"124",2.5
"125",3.5
"126",3.5
"127",4.3
"128",3.5
"129",3.5
"130",2.5
"131",3.5
"132",3.7
"133",2.5
"134",3.5
"135",3.5
"136",4.5
"137",4.5
"138",4.3
"139",0
"140",3.5
"141",4.5
"142",3.5
"143",3.5
"144",3.5
"145",3.5
"146",3.5
"147",3.5
"148",3.5
"149",4.5
"150",4.3
"151",4.5
"152",4.5
"153",2.5
"154",3.5
"155",3.5
"156",3.5
"157",3.5
"158",4.5
"159",3.5
"160",4.2
"161",4.7
"162",4.5
"163",4.5
"164",3.7
"165",3.7
"166",4.5
"167",4.5
"168",3.5
"169",4.5
"170",4.5
"171",3.5
"172",4.5
"173",4.5
"174",4.5
"175",4.5
"176",3.5
"177",3.5
"178",4.5
"179",4.5
"180",4.5
"181",4.5
"182",4.5
"183",4.5
"184",4.5
"185",4.5
"186",4.5
"187",3.5
"188",4.5
"189",4.2
"190",3.5
"191",3.5
"192",2.5
"193",4.7
"194",4.5
"195",2.5
"196",3.5
"197",3.5
"198",4.5
"199",4.5
"200",4.5
"201",4.5
"202",4.9
"203",4.5
"204",4.5
"205",3.5
"206",0
"207",0
"208",0
"209",3.5
"210",2.5
"211",0
"212",0
"213",0
"214",3.5
"215",3.7
"216",4.5
"217",4.5
"218",4.5
"219",4.2
"220",3.5
"221",3.5
"222",2.5
"223",2.5
"224",2.5
"225",0
"226",2.5
"227",3.5
"228",3.5
"229",0.5
"230",0
"231",2.2
"232",2.5
"233",3.5
"234",3.5
"235",2.5
"236",0
"237",0
"238",3.5
"239",0
"240",0
"241",0.5
"242",0
"243",0
"244",3.5
"245",3.7
"246",2.5
"247",3.5
"248",2.5
"249",3.5
"250",2.5
"251",3.5
"252",2.5
"253",2.5
"254",3.5
"255",2.5
"256",3.5
"257",2.5
"258",3.5
"259",4.2
"260",2.5
"261",2.5
"262",3.5
"263",3.5
"264",4.5
"265",3.5
"266",4.5
"267",2.5
"268",4.2
"269",3.5
"270",4.5
"271",0
"272",3.5
"273",2.5
"274",0
"275",2.5
"276",2.5
"277",3.5
"278",3.5
"279",2.5
"280",2.5
"281",3.5
"282",2.5
"283",4.5
"284",4.5
"285",4.5
"286",3.5
"287",3.5
"288",2.5
"289",4.5
"290",4.5
"291",4.7
"292",4.5
"293",3.5
"294",3.5
"295",4.5
"296",2.5
"297",4.5
"298",4.5
"299",4.5
"300",3.5
"301",3.5
"302",4.5
"303",2.5
"304",2.5
"305",3.5
"306",3.7
"307",3.7
"308",4.5
"309",2.5
"310",3.5
"311",3.5
"312",0
"313",3.5
"314",0.5
"315",4.2
"316",3.5
"317",3.5
"318",4.7
"319",3.5
"320",4.5
"321",4.5
"322",4.5
"323",4.5
"324",3.5
"325",3.5
"326",2.5
"327",4.5
"328",4.5
"329",4.7
"330",4.5
"331",4.5
"332",4.7
"333",4.3
"334",4.5
"335",2.5
"336",4.5
"337",3.5
"338",3.5
"339",4.5
"340",3.2
"341",3.5
"342",2.5
"343",4.5
"344",3.5
"345",3.5
"346",3.5
"347",4.5
"348",0
"349",0
"350",2.5
"351",2.5
"352",0
"353",2.5
"354",4.5
"355",4.5
"356",2.5
"357",3.5
"358",4.5
"359",3.5
"360",2.5
"361",2.5
"362",2.5
"363",2.5
"364",2.5
"365",3.5
"366",0.5
"367",3.5
"368",2.5
"369",2.5
"370",2.5
"371",2.5
"372",2.5
"373",3.5
"374",2.5
"375",2.5
"376",0
"377",2.5
"378",3.5
"379",4.5
"380",2.5
"381",2.5
"382",3.7
"383",0
"384",2.5
"385",2.5
"386",3.5
"387",0
"388",3.5
"389",3.5
"390",0.2
"391",2.5
"392",2.5
"393",0
"394",4.5
"395",2.5
"396",4.5
"397",3.5
"398",4.5
"399",4.5
"400",3.5
"401",4.5
"402",3.7
"403",2.5
"404",4.5
"405",4.7
"406",4.7
"407",3.5
"408",4.5
"409",4.7
"410",4.7
"411",3.5
"412",4.5
"413",3.7
"414",3.5
"415",2.5
"416",4.5
"417",3.5
"418",4.5
"419",3.5
"420",4.5
"421",4.5
"422",4.5
"423",2.5
"424",3.5
"425",3.5
"426",3.5
"427",3.5
"428",4.2
"429",4.5
"430",4.5
"431",3.5
"432",4.5
"433",4.7
