"","x"
"1",2.5
"2",4.5
"3",2.5
"4",3.5
"5",4.5
"6",3.5
"7",3.5
"8",4.5
"9",3.5
"10",3.5
"11",3.5
"12",0
"13",3.5
"14",2.5
"15",2.5
"16",4.5
"17",3.5
"18",3.5
"19",3.2
"20",3.2
"21",3.5
"22",4.5
"23",2.5
"24",3.5
"25",2.2
"26",2.5
"27",3.5
"28",3.5
"29",4.5
"30",4.5
"31",2.2
"32",0
"33",3.5
"34",3.5
"35",3.5
"36",2.5
"37",3.5
"38",3.5
"39",4.5
"40",2.7
"41",3.5
"42",4.5
"43",4.5
"44",3.5
"45",4.5
"46",4.5
"47",3.5
"48",3.2
"49",3.2
"50",3.5
"51",4.5
"52",2.7
"53",-2.5
"54",-2.5
"55",-2.5
"56",0
"57",2.5
"58",-2.5
"59",-2.5
"60",2.2
"61",0
"62",-4.5
"63",3.5
"64",-2.5
"65",3.2
"66",3.2
"67",0
"68",-2.5
"69",4.5
"70",4.5
"71",3.5
"72",3.5
"73",3.5
"74",4.7
"75",3.5
"76",2.5
"77",2.5
"78",3.2
"79",4.5
"80",3.5
"81",3.5
"82",4.5
"83",4.5
"84",4.5
"85",4.5
"86",3.5
"87",3.5
"88",2.5
"89",3.5
"90",3.5
"91",4.5
"92",2.7
"93",3.5
"94",4.5
"95",4.5
"96",3.5
"97",4.5
"98",4.5
"99",2.2
"100",3.2
"101",3.5
"102",3.5
"103",4.5
"104",2.7
"105",-2.5
"106",-2.5
"107",2.5
"108",2.2
"109",0
"110",-2.5
"111",0
"112",3.5
"113",-2.5
"114",-2.5
"115",3.2
"116",4.5
"117",-2.5
"118",0
"119",-2.5
"120",-2.5
"121",4.5
"122",4.5
"123",4.5
"124",0
"125",3.5
"126",4.5
"127",3.5
"128",2.5
"129",3.5
"130",3.5
"131",2.7
"132",3.5
"133",3.5
"134",4.5
"135",3.5
"136",4.5
"137",4.5
"138",4.2
"139",0
"140",4.5
"141",4.5
"142",4.5
"143",3.5
"144",3.5
"145",3.2
"146",3.5
"147",3.5
"148",4.5
"149",3.5
"150",4.5
"151",4.5
"152",4.5
"153",2.5
"154",3.5
"155",4.5
"156",3.5
"157",4.5
"158",4.5
"159",4.5
"160",4.5
"161",4.9
"162",4.5
"163",4.5
"164",4.9
"165",4.5
"166",5
"167",4.5
"168",4.5
"169",4.5
"170",4.5
"171",3.5
"172",4.5
"173",4.5
"174",4.9
"175",3.5
"176",4.5
"177",4.7
"178",4.5
"179",4.5
"180",4.5
"181",3.5
"182",4.5
"183",4.5
"184",4.5
"185",5
"186",3.5
"187",5
"188",4.5
"189",4.5
"190",4.5
"191",3.5
"192",3.2
"193",4.2
"194",4.5
"195",3.5
"196",3.5
"197",4.5
"198",2.5
"199",4.5
"200",4.5
"201",4.5
"202",4.9
"203",4.9
"204",3.5
"205",4.5
"206",-3.5
"207",-3.5
"208",-2.5
"209",4.5
"210",3.5
"211",2.5
"212",-3.5
"213",2.5
"214",4.5
"215",4.5
"216",3.5
"217",4.9
"218",4.5
"219",4.5
"220",3.5
"221",4.5
"222",3.2
"223",2.2
"224",-2.5
"225",-3.5
"226",-2.5
"227",3.5
"228",3.2
"229",0
"230",-5
"231",-3.5
"232",-2.5
"233",3.5
"234",2.2
"235",0
"236",-3.5
"237",-4.9
"238",2.2
"239",0.5
"240",-2.5
"241",0
"242",-2.5
"243",0
"244",0
"245",4.5
"246",2.5
"247",3.5
"248",-2.5
"249",3.5
"250",-2.5
"251",4.5
"252",0
"253",0
"254",2.5
"255",0
"256",2.7
"257",0
"258",3.2
"259",4.5
"260",0
"261",-2.5
"262",3.2
"263",3.2
"264",3.5
"265",3.5
"266",4.5
"267",2.5
"268",4.5
"269",4.5
"270",2.5
"271",-2.5
"272",2.5
"273",-2.5
"274",-4.9
"275",-2.5
"276",2.7
"277",3.5
"278",2.5
"279",-2.5
"280",-2.5
"281",3.2
"282",1.2
"283",4.5
"284",4.5
"285",4.5
"286",2.5
"287",2.5
"288",0
"289",4.5
"290",4.5
"291",3.7
"292",4.5
"293",3.7
"294",3.2
"295",3.5
"296",2.5
"297",3.5
"298",4.5
"299",4.5
"300",4.5
"301",3.5
"302",4.5
"303",4.5
"304",-4.5
"305",3.5
"306",4.5
"307",4.5
