Union,date,week
37.58,2005-09-22,0538
37.6,2005-09-23,0538
37.61,2005-09-24,0538
37.63,2005-09-25,0538
37.65,2005-09-26,0539
37.67,2005-09-27,0539
37.69,2005-09-28,0539
37.71,2005-09-29,0539
37.73,2005-09-30,0539
37.74,2005-10-01,0539
37.76,2005-10-02,0539
37.78,2005-10-03,0540
37.8,2005-10-04,0540
37.82,2005-10-05,0540
37.84,2005-10-06,0540
37.82,2005-10-07,0540
37.81,2005-10-08,0540
37.79,2005-10-09,0540
37.77,2005-10-10,0541
37.76,2005-10-11,0541
37.74,2005-10-12,0541
37.72,2005-10-13,0541
37.7,2005-10-14,0541
37.67,2005-10-15,0541
37.65,2005-10-16,0541
37.62,2005-10-17,0542
37.6,2005-10-18,0542
37.57,2005-10-19,0542
37.54,2005-10-20,0542
37.52,2005-10-21,0542
37.49,2005-10-22,0542
37.47,2005-10-23,0542
37.44,2005-10-24,0543
37.42,2005-10-25,0543
37.39,2005-10-26,0543
37.37,2005-10-27,0543
37.35,2005-10-28,0543
37.34,2005-10-29,0543
37.33,2005-10-30,0543
37.31,2005-10-31,0544
37.3,2005-11-01,0544
37.28,2005-11-02,0544
37.27,2005-11-03,0544
37.26,2005-11-04,0544
37.24,2005-11-05,0544
37.23,2005-11-06,0544
37.22,2005-11-07,0545
37.2,2005-11-08,0545
37.19,2005-11-09,0545
37.17,2005-11-10,0545
37.2,2005-11-11,0545
37.22,2005-11-12,0545
37.24,2005-11-13,0545
37.26,2005-11-14,0546
37.29,2005-11-15,0546
37.31,2005-11-16,0546
37.33,2005-11-17,0546
37.35,2005-11-18,0546
37.38,2005-11-19,0546
37.4,2005-11-20,0546
37.42,2005-11-21,0547
37.45,2005-11-22,0547
37.47,2005-11-23,0547
37.49,2005-11-24,0547
37.53,2005-11-25,0547
37.57,2005-11-26,0547
37.6,2005-11-27,0547
37.64,2005-11-28,0548
37.68,2005-11-29,0548
37.72,2005-11-30,0548
37.76,2005-12-01,0548
37.8,2005-12-02,0548
