A,date,week
25.64,2010-01-20,1003
25.65,2010-01-21,1003
25.66,2010-01-22,1003
25.67,2010-01-23,1003
25.68,2010-01-24,1003
25.69,2010-01-25,1004
25.7,2010-01-26,1004
25.7,2010-01-27,1004
25.71,2010-01-28,1004
25.72,2010-01-29,1004
25.76,2010-01-30,1004
25.8,2010-01-31,1004
25.84,2010-02-01,1005
25.88,2010-02-02,1005
25.92,2010-02-03,1005
25.95,2010-02-04,1005
25.98,2010-02-05,1005
26.01,2010-02-06,1005
26.04,2010-02-07,1005
26.07,2010-02-08,1006
26.09,2010-02-09,1006
26.12,2010-02-10,1006
26.15,2010-02-11,1006
26.17,2010-02-12,1006
26.18,2010-02-13,1006
26.2,2010-02-14,1006
26.21,2010-02-15,1007
26.23,2010-02-16,1007
26.24,2010-02-17,1007
26.26,2010-02-18,1007
26.27,2010-02-19,1007
26.29,2010-02-20,1007
26.3,2010-02-21,1007
26.32,2010-02-22,1008
26.33,2010-02-23,1008
26.35,2010-02-24,1008
26.36,2010-02-25,1008
26.4,2010-02-26,1008
26.42,2010-02-27,1008
26.45,2010-02-28,1008
26.47,2010-03-01,1009
26.5,2010-03-02,1009
26.52,2010-03-03,1009
26.49,2010-03-04,1009
26.5,2010-03-05,1009
26.51,2010-03-06,1009
26.53,2010-03-07,1009
26.54,2010-03-08,1010
26.55,2010-03-09,1010
26.56,2010-03-10,1010
26.57,2010-03-11,1010
26.58,2010-03-12,1010
26.6,2010-03-13,1010
26.61,2010-03-14,1010
26.62,2010-03-15,1011
26.63,2010-03-16,1011
26.64,2010-03-17,1011
26.65,2010-03-18,1011
26.67,2010-03-19,1011
26.68,2010-03-20,1011
26.69,2010-03-21,1011
26.7,2010-03-22,1012
26.71,2010-03-23,1012
26.72,2010-03-24,1012
26.77,2010-03-25,1012
26.81,2010-03-26,1012
26.86,2010-03-27,1012
26.9,2010-03-28,1012
26.95,2010-03-29,1013
26.99,2010-03-30,1013
27.03,2010-03-31,1013
27.06,2010-04-01,1013
27.09,2010-04-02,1013
27.13,2010-04-03,1013
27.16,2010-04-04,1013
27.19,2010-04-05,1014
27.22,2010-04-06,1014
27.26,2010-04-07,1014
27.29,2010-04-08,1014
27.32,2010-04-09,1014
27.35,2010-04-10,1014
27.39,2010-04-11,1014
27.42,2010-04-12,1015
27.43,2010-04-13,1015
27.44,2010-04-14,1015
27.42,2010-04-15,1015
27.4,2010-04-16,1015
27.38,2010-04-17,1015
27.36,2010-04-18,1015
27.34,2010-04-19,1016
27.32,2010-04-20,1016
27.3,2010-04-21,1016
27.28,2010-04-22,1016
27.31,2010-04-23,1016
27.32,2010-04-24,1016
27.34,2010-04-25,1016
27.35,2010-04-26,1017
27.36,2010-04-27,1017
27.38,2010-04-28,1017
27.39,2010-04-29,1017
27.41,2010-04-30,1017
27.42,2010-05-01,1017
27.43,2010-05-02,1017
27.45,2010-05-03,1018
27.46,2010-05-04,1018
27.48,2010-05-05,1018
27.52,2010-05-06,1018
27.56,2010-05-07,1018
27.61,2010-05-08,1018
27.65,2010-05-09,1018
27.7,2010-05-10,1019
27.74,2010-05-11,1019
27.79,2010-05-12,1019
27.83,2010-05-13,1019
27.88,2010-05-14,1019
27.93,2010-05-15,1019
27.97,2010-05-16,1019
28.02,2010-05-17,1020
28.06,2010-05-18,1020
28.11,2010-05-19,1020
28.15,2010-05-20,1020
28.2,2010-05-21,1020
28.24,2010-05-22,1020
28.29,2010-05-23,1020
28.33,2010-05-24,1021
28.38,2010-05-25,1021
28.43,2010-05-26,1021
28.41,2010-05-27,1021
28.39,2010-05-28,1021
28.42,2010-05-29,1021
28.46,2010-05-30,1021
28.49,2010-05-31,1022
28.52,2010-06-01,1022
28.56,2010-06-02,1022
28.54,2010-06-03,1022
28.52,2010-06-04,1022
28.49,2010-06-05,1022
28.47,2010-06-06,1022
28.45,2010-06-07,1023
28.43,2010-06-08,1023
28.41,2010-06-09,1023
28.39,2010-06-10,1023
28.34,2010-06-11,1023
28.29,2010-06-12,1023
28.25,2010-06-13,1023
28.2,2010-06-14,1024
28.15,2010-06-15,1024
28.1,2010-06-16,1024
28.05,2010-06-17,1024
28,2010-06-18,1024
27.95,2010-06-19,1024
27.91,2010-06-20,1024
27.86,2010-06-21,1025
27.81,2010-06-22,1025
27.76,2010-06-23,1025
27.71,2010-06-24,1025
27.67,2010-06-25,1025
27.62,2010-06-26,1025
27.58,2010-06-27,1025
27.53,2010-06-28,1026
27.49,2010-06-29,1026
27.44,2010-06-30,1026
27.4,2010-07-01,1026
27.36,2010-07-02,1026
27.31,2010-07-03,1026
27.27,2010-07-04,1026
27.22,2010-07-05,1027
27.18,2010-07-06,1027
27.14,2010-07-07,1027
27.09,2010-07-08,1027
27.05,2010-07-09,1027
27,2010-07-10,1027
26.96,2010-07-11,1027
26.92,2010-07-12,1028
26.87,2010-07-13,1028
26.83,2010-07-14,1028
26.79,2010-07-15,1028
26.74,2010-07-16,1028
26.7,2010-07-17,1028
26.65,2010-07-18,1028
26.61,2010-07-19,1029
26.57,2010-07-20,1029
26.52,2010-07-21,1029
26.48,2010-07-22,1029
26.42,2010-07-23,1029
26.37,2010-07-24,1029
26.32,2010-07-25,1029
26.26,2010-07-26,1030
26.21,2010-07-27,1030
26.16,2010-07-28,1030
26.1,2010-07-29,1030
26.05,2010-07-30,1030
26,2010-07-31,1030
25.94,2010-08-01,1030
25.89,2010-08-02,1031
25.84,2010-08-03,1031
25.78,2010-08-04,1031
25.73,2010-08-05,1031
25.65,2010-08-06,1031
25.57,2010-08-07,1031
25.49,2010-08-08,1031
25.41,2010-08-09,1032
25.41,2010-08-10,1032
25.4,2010-08-11,1032
25.4,2010-08-12,1032
25.42,2010-08-13,1032
25.44,2010-08-14,1032
25.46,2010-08-15,1032
25.48,2010-08-16,1033
25.5,2010-08-17,1033
25.52,2010-08-18,1033
25.54,2010-08-19,1033
25.56,2010-08-20,1033
25.58,2010-08-21,1033
25.6,2010-08-22,1033
25.62,2010-08-23,1034
25.64,2010-08-24,1034
25.66,2010-08-25,1034
25.68,2010-08-26,1034
25.7,2010-08-27,1034
25.73,2010-08-28,1034
25.76,2010-08-29,1034
25.78,2010-08-30,1035
25.81,2010-08-31,1035
25.84,2010-09-01,1035
25.87,2010-09-02,1035
25.89,2010-09-03,1035
25.92,2010-09-04,1035
25.95,2010-09-05,1035
25.97,2010-09-06,1036
26,2010-09-07,1036
26.03,2010-09-08,1036
26.05,2010-09-09,1036
26.08,2010-09-10,1036
26.13,2010-09-11,1036
26.18,2010-09-12,1036
26.23,2010-09-13,1037
26.28,2010-09-14,1037
26.33,2010-09-15,1037
26.38,2010-09-16,1037
26.43,2010-09-17,1037
26.48,2010-09-18,1037
26.53,2010-09-19,1037
26.58,2010-09-20,1038
26.63,2010-09-21,1038
26.68,2010-09-22,1038
26.73,2010-09-23,1038
26.83,2010-09-24,1038
26.93,2010-09-25,1038
27.03,2010-09-26,1038
27.13,2010-09-27,1039
27.24,2010-09-28,1039
27.34,2010-09-29,1039
27.35,2010-09-30,1039
27.37,2010-10-01,1039
27.39,2010-10-02,1039
27.41,2010-10-03,1039
27.42,2010-10-04,1040
27.45,2010-10-05,1040
27.47,2010-10-06,1040
27.5,2010-10-07,1040
27.54,2010-10-08,1040
27.58,2010-10-09,1040
27.57,2010-10-10,1040
27.56,2010-10-11,1041
27.55,2010-10-12,1041
27.54,2010-10-13,1041
27.53,2010-10-14,1041
27.52,2010-10-15,1041
27.51,2010-10-16,1041
27.5,2010-10-17,1041
27.49,2010-10-18,1042
27.48,2010-10-19,1042
27.47,2010-10-20,1042
27.46,2010-10-21,1042
27.45,2010-10-22,1042
27.44,2010-10-23,1042
27.43,2010-10-24,1042
27.42,2010-10-25,1043
27.42,2010-10-26,1043
27.41,2010-10-27,1043
27.38,2010-10-28,1043
27.37,2010-10-29,1043
27.35,2010-10-30,1043
27.34,2010-10-31,1043
27.32,2010-11-01,1044
27.31,2010-11-02,1044
27.29,2010-11-03,1044
27.28,2010-11-04,1044
27.27,2010-11-05,1044
27.26,2010-11-06,1044
27.25,2010-11-07,1044
27.25,2010-11-08,1045
27.24,2010-11-09,1045
27.23,2010-11-10,1045
27.22,2010-11-11,1045
27.21,2010-11-12,1045
27.24,2010-11-13,1045
27.26,2010-11-14,1045
27.29,2010-11-15,1046
27.32,2010-11-16,1046
27.35,2010-11-17,1046
27.38,2010-11-18,1046
27.4,2010-11-19,1046
27.43,2010-11-20,1046
27.46,2010-11-21,1046
27.49,2010-11-22,1047
27.52,2010-11-23,1047
27.54,2010-11-24,1047
27.53,2010-11-25,1047
27.55,2010-11-26,1047
27.56,2010-11-27,1047
27.57,2010-11-28,1047
27.59,2010-11-29,1048
27.6,2010-11-30,1048
27.62,2010-12-01,1048
27.63,2010-12-02,1048
27.65,2010-12-03,1048
27.66,2010-12-04,1048
27.68,2010-12-05,1048
27.69,2010-12-06,1049
27.7,2010-12-07,1049
27.72,2010-12-08,1049
27.73,2010-12-09,1049
