PSOE,date,week
27.92,2011-12-15,1150
27.91,2011-12-16,1150
27.89,2011-12-17,1150
27.88,2011-12-18,1150
27.86,2011-12-19,1151
27.85,2011-12-20,1151
27.83,2011-12-21,1151
27.82,2011-12-22,1151
27.8,2011-12-23,1151
27.79,2011-12-24,1151
27.77,2011-12-25,1151
27.76,2011-12-26,1152
27.74,2011-12-27,1152
27.73,2011-12-28,1152
27.72,2011-12-29,1152
27.7,2011-12-30,1152
27.69,2011-12-31,1152
27.67,2012-01-01,1252
27.66,2012-01-02,1201
27.64,2012-01-03,1201
27.63,2012-01-04,1201
27.61,2012-01-05,1201
27.63,2012-01-06,1201
27.62,2012-01-07,1201
27.6,2012-01-08,1201
27.58,2012-01-09,1202
27.57,2012-01-10,1202
27.55,2012-01-11,1202
27.53,2012-01-12,1202
27.52,2012-01-13,1202
27.5,2012-01-14,1202
27.48,2012-01-15,1202
27.44,2012-01-16,1203
27.39,2012-01-17,1203
27.35,2012-01-18,1203
27.3,2012-01-19,1203
27.25,2012-01-20,1203
27.19,2012-01-21,1203
27.13,2012-01-22,1203
27.06,2012-01-23,1204
27,2012-01-24,1204
26.94,2012-01-25,1204
26.88,2012-01-26,1204
26.81,2012-01-27,1204
26.75,2012-01-28,1204
26.69,2012-01-29,1204
26.62,2012-01-30,1205
26.56,2012-01-31,1205
26.5,2012-02-01,1205
26.44,2012-02-02,1205
26.37,2012-02-03,1205
26.31,2012-02-04,1205
26.25,2012-02-05,1205
26.18,2012-02-06,1206
26.12,2012-02-07,1206
26.01,2012-02-08,1206
25.91,2012-02-09,1206
25.91,2012-02-10,1206
25.9,2012-02-11,1206
25.9,2012-02-12,1206
25.9,2012-02-13,1207
25.89,2012-02-14,1207
25.89,2012-02-15,1207
25.89,2012-02-16,1207
25.88,2012-02-17,1207
25.91,2012-02-18,1207
25.93,2012-02-19,1207
25.95,2012-02-20,1208
25.98,2012-02-21,1208
26,2012-02-22,1208
26.02,2012-02-23,1208
26.05,2012-02-24,1208
26.07,2012-02-25,1208
26.09,2012-02-26,1208
26.12,2012-02-27,1209
26.14,2012-02-28,1209
26.1,2012-02-29,1209
26.06,2012-03-01,1209
26.07,2012-03-02,1209
26.09,2012-03-03,1209
26.11,2012-03-04,1209
26.12,2012-03-05,1210
26.14,2012-03-06,1210
26.15,2012-03-07,1210
26.17,2012-03-08,1210
26.19,2012-03-09,1210
26.21,2012-03-10,1210
26.22,2012-03-11,1210
26.24,2012-03-12,1211
26.26,2012-03-13,1211
26.28,2012-03-14,1211
26.29,2012-03-15,1211
26.31,2012-03-16,1211
26.33,2012-03-17,1211
26.35,2012-03-18,1211
26.36,2012-03-19,1212
26.38,2012-03-20,1212
26.4,2012-03-21,1212
26.42,2012-03-22,1212
26.44,2012-03-23,1212
26.45,2012-03-24,1212
26.47,2012-03-25,1212
26.49,2012-03-26,1213
26.51,2012-03-27,1213
26.52,2012-03-28,1213
26.54,2012-03-29,1213
26.56,2012-03-30,1213
26.58,2012-03-31,1213
26.59,2012-04-01,1213
26.61,2012-04-02,1214
26.63,2012-04-03,1214
26.65,2012-04-04,1214
26.66,2012-04-05,1214
26.68,2012-04-06,1214
26.7,2012-04-07,1214
26.72,2012-04-08,1214
26.73,2012-04-09,1215
26.68,2012-04-10,1215
26.63,2012-04-11,1215
26.64,2012-04-12,1215
26.77,2012-04-13,1215
26.91,2012-04-14,1215
27.04,2012-04-15,1215
27.17,2012-04-16,1216
27.31,2012-04-17,1216
27.32,2012-04-18,1216
27.33,2012-04-19,1216
27.34,2012-04-20,1216
27.35,2012-04-21,1216
27.36,2012-04-22,1216
27.36,2012-04-23,1217
27.37,2012-04-24,1217
27.38,2012-04-25,1217
27.38,2012-04-26,1217
27.38,2012-04-27,1217
27.38,2012-04-28,1217
27.38,2012-04-29,1217
27.38,2012-04-30,1218
27.38,2012-05-01,1218
27.38,2012-05-02,1218
27.37,2012-05-03,1218
27.37,2012-05-04,1218
27.37,2012-05-05,1218
27.37,2012-05-06,1218
27.37,2012-05-07,1219
27.37,2012-05-08,1219
27.32,2012-05-09,1219
27.27,2012-05-10,1219
27.27,2012-05-11,1219
27.28,2012-05-12,1219
27.29,2012-05-13,1219
27.29,2012-05-14,1220
27.3,2012-05-15,1220
27.3,2012-05-16,1220
27.31,2012-05-17,1220
27.32,2012-05-18,1220
27.32,2012-05-19,1220
27.33,2012-05-20,1220
27.33,2012-05-21,1221
27.34,2012-05-22,1221
27.34,2012-05-23,1221
27.35,2012-05-24,1221
27.36,2012-05-25,1221
27.36,2012-05-26,1221
27.37,2012-05-27,1221
27.37,2012-05-28,1222
27.38,2012-05-29,1222
27.39,2012-05-30,1222
27.38,2012-05-31,1222
27.37,2012-06-01,1222
27.36,2012-06-02,1222
27.35,2012-06-03,1222
27.34,2012-06-04,1223
27.33,2012-06-05,1223
27.32,2012-06-06,1223
27.31,2012-06-07,1223
27.28,2012-06-08,1223
27.25,2012-06-09,1223
27.22,2012-06-10,1223
27.19,2012-06-11,1224
27.16,2012-06-12,1224
27.12,2012-06-13,1224
27.09,2012-06-14,1224
27,2012-06-15,1224
26.99,2012-06-16,1224
26.99,2012-06-17,1224
26.98,2012-06-18,1225
26.94,2012-06-19,1225
26.9,2012-06-20,1225
26.86,2012-06-21,1225
26.82,2012-06-22,1225
26.78,2012-06-23,1225
26.74,2012-06-24,1225
26.69,2012-06-25,1226
26.65,2012-06-26,1226
26.61,2012-06-27,1226
26.57,2012-06-28,1226
26.64,2012-06-29,1226
26.7,2012-06-30,1226
26.76,2012-07-01,1226
26.83,2012-07-02,1227
26.89,2012-07-03,1227
26.96,2012-07-04,1227
27.02,2012-07-05,1227
27.22,2012-07-06,1227
27.34,2012-07-07,1227
27.46,2012-07-08,1227
27.58,2012-07-09,1228
