VVD,date,week
25.85,2012-09-26,1239
25.87,2012-09-27,1239
25.88,2012-09-28,1239
25.9,2012-09-29,1239
25.91,2012-09-30,1239
25.93,2012-10-01,1240
25.94,2012-10-02,1240
25.96,2012-10-03,1240
25.97,2012-10-04,1240
25.93,2012-10-05,1240
25.89,2012-10-06,1240
25.85,2012-10-07,1240
25.81,2012-10-08,1241
25.77,2012-10-09,1241
25.73,2012-10-10,1241
25.69,2012-10-11,1241
25.65,2012-10-12,1241
25.6,2012-10-13,1241
25.56,2012-10-14,1241
25.49,2012-10-15,1242
25.42,2012-10-16,1242
25.34,2012-10-17,1242
25.27,2012-10-18,1242
25.09,2012-10-19,1242
24.9,2012-10-20,1242
24.72,2012-10-21,1242
24.48,2012-10-22,1243
24.24,2012-10-23,1243
24,2012-10-24,1243
23.71,2012-10-25,1243
23.41,2012-10-26,1243
23.11,2012-10-27,1243
22.81,2012-10-28,1243
22.44,2012-10-29,1244
22.07,2012-10-30,1244
21.69,2012-10-31,1244
21.32,2012-11-01,1244
20.78,2012-11-02,1244
20.24,2012-11-03,1244
19.69,2012-11-04,1244
19.31,2012-11-05,1245
18.92,2012-11-06,1245
18.76,2012-11-07,1245
18.61,2012-11-08,1245
18.45,2012-11-09,1245
18.3,2012-11-10,1245
18.14,2012-11-11,1245
18.11,2012-11-12,1246
18.07,2012-11-13,1246
18.04,2012-11-14,1246
18,2012-11-15,1246
17.86,2012-11-16,1246
17.71,2012-11-17,1246
17.57,2012-11-18,1246
17.49,2012-11-19,1247
17.41,2012-11-20,1247
17.32,2012-11-21,1247
17.24,2012-11-22,1247
17.16,2012-11-23,1247
17.08,2012-11-24,1247
16.99,2012-11-25,1247
16.98,2012-11-26,1248
16.97,2012-11-27,1248
16.96,2012-11-28,1248
16.95,2012-11-29,1248
16.83,2012-11-30,1248
16.71,2012-12-01,1248
16.59,2012-12-02,1248
16.56,2012-12-03,1249
16.53,2012-12-04,1249
16.5,2012-12-05,1249
16.46,2012-12-06,1249
16.43,2012-12-07,1249
16.4,2012-12-08,1249
16.37,2012-12-09,1249
16.41,2012-12-10,1250
16.45,2012-12-11,1250
16.5,2012-12-12,1250
16.54,2012-12-13,1250
16.51,2012-12-14,1250
16.47,2012-12-15,1250
16.44,2012-12-16,1250
