"","topics","dates","speeches","links"
"1"," Joint Statement on the Role of a Sustainable Ocean Economy in a post-COVID-19 World ",2020-06-08,"Blue nature is central to the planet and its people. The ocean covers over 70 percent of the earth’s surface, absorbs about a quarter of all carbon emissions, and captures more than 90 percent of the additional heat they generate. A fundamental building block of the global economy, it contributes over $2.5 trillion annually in value-added services, feeds over three billion people, provides a livelihood for over three billion people, and transports around 90 percent of world trade. It is also a source of renewable energy and key ingredients for fighting disease. And it can do more if we sustainably manage it. World leaders must value the ocean in recovery from the COVID-19 crisis. In a sustainable ocean economy, effective protection, sustainable production and equitable prosperity go hand-in-hand. Investing in a sustainable ocean economy is an excellent deal: it has considerable benefits for the global economy, the ocean and societal well-being. The High Level Panel for a Sustainable Ocean Economy is committed to the transition to a sustainable ocean economy, which is essential for jobs, food security, healthy people and ecosystems, a low-carbon world, equity, and resilience. Our nations are currently working on a set of recommendations to enable this transition, which is also vital for a sustainable relationship between people and planet—the entire blue planet. We cannot let this opportunity escape us. We, the members of the High Level Panel for a Sustainable Ocean Economy, lead nations of highly diverse oceanic, economic and political perspectives. Driven by a commitment to partnership, shared knowledge and science-informed policy, we aim to advance the values underpinning a sustainable ocean economy—effective protection, sustainable production and equitable prosperity.","https://www.regjeringen.no/en/historical-archive/solbergs-government/Ministries/smk/speeches-and-articles/statsministeren/talerogartikler/2020/joint-statement-on-the-role-of-a-sustainable-ocean-economy-in-a-post-covid-19-world/id2706086/"
"2"," High-Level Event on Financing for Development in the Era of COVID-19 and Beyond ",2020-05-28,"Excellencies, Dear Colleagues. Thank you for this important initiative. The human costs and the economic effects of this pandemic are staggering. With unemployment soaring, investments and remittances falling, and debt mounting, those with the least are – as always – hit the hardest. Disruptions in supply-chains add to the strain by creating shortages of essential goods such as food, fertilizers, medicines and fuel. These problems call for urgent global action and solidarity.  Let me highlight three priority initiatives for Norway. Firstly, development and fair global distribution of vaccines, including to low and middle-income countries. The Norwegian initiated Coalition for epidemic preparedness innovations, CEPI, is central to achieving this. I am encouraged by the strong international support for CEPIs efforts. We have also increased our funding to GAVI, to WHO, and to the UN humanitarian response.  Secondly, we invest in a united global response with a strong UN at its core. Therefore, Norway took the initiative to establish a UN COVID-19 Response and Recovery Fund. The aim is to help those most vulnerable to economic hardship. We also support the International Financial Institutions debt moratorium and deferment of payments. Thirdly, corruption and fraud thrive in times of chaos. We are therefore strongly committed to ending illicit financial flows. Norway, as current ECOSOC President, was proud to establish a high-level panel on financial accountability, transparency and integrity, the FACTI panel, together with the President of the General Assembly. Financing for development is at the core of our ECOSOC Presidency. ECOSOC recently facilitated the first universal agreement to finance COVID-19 response. Furthermore, the ECOSOC Financing for Development Forum will meet on June 2. to focus on the need for stronger financing assistance. In this regard, we must also work to ensure rapid disbursements of funds to those in need. This is crucial to halting the economic downturn in many countries Our recovery from the pandemic and the economic downturn will be quicker if we recommit to a spirit of cooperation and are guided by the Sustainable Development Goals. This is not the time to seek confrontation and look inward. Instead, let us use this moment to ensure more global cooperation, in order to build back a healthier, greener, fairer, gender equal and sustainable world. Thank you.","https://www.regjeringen.no/en/historical-archive/solbergs-government/Ministries/smk/speeches-and-articles/statsministeren/talerogartikler/2020/high-level-event-on-financing-for-development-in-the-era-of-covid-19-and-beyond-convened-by-canada/id2704279/"
"3"," Special Session of the UN General Assembly in response to the Covid-19 Pandemic ",2020-12-03,"I am here today with two messages: First; we must handle the ongoing crises and stop the pandemic as soon as we can. We are facing perhaps the darkest hours of the COVID-19 pandemic. The number of deaths has surpassed 1.3 million people. Millions of children have to stay away from their schools. There are new lockdowns. The global economy is faced with a loss of more than 500 billion US Dollars a month. Unemployment, human suffering, despairing health workers and the collapse of social systems are happening everywhere. BUT. There are rays of light. News of efficient vaccines give us hope. The commitment of countries, civil society and industry to find effective tools is encouraging. However. To actually end the pandemic for all, this is the time to increase our efforts. We need more vaccines, we need diagnostics and therapeutics. And we need to secure fair and global access through efficient distribution on the ground. To reach the most vulnerable groups, also the health connector should be strengthened. We need increased support for universal health care to deliver efficient health services – including COVID-19 tools such as vaccines. The ACT Accelerator was set up to do just that. Norway is proud to co-chair the ACT Accelator, and we are deeply committed to do our share. We plan to allocate another 223 million US Dollars in 2020, totaling our contribution for global efforts so far to more than 500 million dollars. More countries need to come forward to contribute their share. Today´s event is important for two reasons: We must reach a shared understanding of the realities we are facing. And we must recognize the possibility of ending the pandemic if we work together. Our commitment to international cooperation has been our strength and strategy in fighting the pandemic. There are no other alternatives but to continue this cooperation. My second message is that we must prevent future disasters No matter how soon we manage to end COVID-19, we need to equip ourselves with better tools to prevent and efficiently respond to future pandemics and global disasters. Leaders and stakeholders must develop a master plan together, where responsibilities and future work is clearly outlined and recognized. This must be based on existing and enhanced global commitments to prevent such disasters. In other words, we must strengthen our joint defence. I support the Secretary General and the call for a Global Summit to address this. We must invest in the future by making all societies more robust. We must build back better in order to secure truly sustainable development, including happier & healthier lives for all. Thank you.","https://www.regjeringen.no/en/historical-archive/solbergs-government/Ministries/smk/speeches-and-articles/statsministeren/talerogartikler/2020/un-general-assembly-special-session-on-the-covid-19-pandemic/id2789553/"
"4"," 2020 UNESCO Global Education meeting ",2020-10-22,"Dear friends, We all know that education is the most powerful investment we can make in our future. Now, COVID-19 is putting our commitment to the test. In Norway, as in countries all over the world, we are experiencing how devastating the pandemic is for people’s health, our economies and societies. We must combat the pandemic in order for society and schools to return to normal. But more than returning to normal, education holds the key to unlocking sustainable development and building back better. We know that education reduces poverty and exploitation. We know that education increases productivity and leads to higher earnings. We know that a child whose mother can read is far more likely to live a healthy life. Malala told us that “One child, one teacher, one book, one pen can change the world”. To me this means that education is the key to freedom and progress for all, including for girls all over the world. During the pandemic 1.6 billion students have been directly affected by lock-downs and closed schools. School closures have stripped many children of the opportunity to learn, a safe space and even healthy meals. For girls, the probability of early marriage and early pregnancies have increased. It is likely that many learners will never return to school. I fear that the pandemic will cause permanent setbacks for education and gender equality. This would lead to permanent loss in learning and trillions lost in earnings. We can therefore safely say that financing of education should not be regarded as an expenditure, but as the best investment societies can make. Two elements are important for rapid recovery: financing and political commitment.  To achieve the education SDG, countries must invest a higher share of national resources in education. In many cases, the right to education will remain an empty promise unless education spending increases. We need to mobilize more international financing for global education. And, we need to assure that all investments are used effectively. The times ahead will be a test of our ability to deliver on political commitments and cooperation. It will also be a time of opportunity: Opportunity to address the learning crisis. Opportunity to test new innovative tools. Opportunity to strengthen synergies between health and education to ensure that even the most marginalized children survive and thrive. We need effective cooperation at the global and national levels, to seize the opportunities. I support the Global Education Meetings’ declaration and its clear propositions to fast track progress on SDG 4. All children, and, I should stress, all girls, must return to school. This is vital for rebuilding economies and societies, and for the freedom of our children. This is our responsibility. Thank you","https://www.regjeringen.no/en/historical-archive/solbergs-government/Ministries/smk/speeches-and-articles/statsministeren/talerogartikler/2020/unesco-global-education-meeting/id2774184/"
"5"," PM Solbergs statement at the Global Vaccine Summit 2020 ",2020-06-04,"We know from our own experience that investing in vaccines is one of the best public health investments we can make. Norway was one of the founders of Gavi 20 years ago. We believed, and still believe, in the vision and mission to improve the world, one vaccine at a time. Now, 20 years on, more than 760 million children have been given a better chance to reach adulthood, and to become productive members of society. Preventing future epidemics of diseases such as measles and polio, through Gavi’s strategic and innovative approach to make vaccines affordable and accessible, has saved millions of lives. In line with the strong “Gavi tradition”, we must continue to make sure no-one is left behind. Today’s pandemic and the ongoing unprecedented efforts to find vaccines against COVID-19 is a testament to the significance of vaccines. World leaders must deliver on our promise to ensure that a vaccine, once developed, is available globally to those most in need first, including to those countries that do not have the ability to pay. It is a human rights issue. It is a global health security issue. The New Advanced Mechanism Commitment for COVID-19 vaccines will ensure that also people in low-and lower-middle income countries have access to vaccines, once developed. This is a highly appreciated and timely initiative. Norway is looking with interest into proposals for global solutions with broad participation to secure the efficient procurement and distribution of COVID-19 vaccines to all, for example the Covax Facility presented by Gavi and CEPI. Norway will continue to be a committed long-term partner for Gavi. I am pleased to announce Norway’s contribution of 1 billion USD, including 400 mill. USD to IFFIm for the strategic period 2021 - 2025. Furthermore, 5,6 million USD already committed to Gavi will be used as seed-money to the new Advanced Mechanism Commitment.  Thank you","https://www.regjeringen.no/en/historical-archive/solbergs-government/Ministries/smk/speeches-and-articles/statsministeren/talerogartikler/2020/pm-solbergs-statement-at-global-vaccine-summit/id2705050/"
"6"," Ocean action offers ‘blue boost’ for recovery ",2020-08-12,"The numbers back this up: new research commissioned by the Ocean Panel shows that every dollar invested in key ocean actions — like increasing sustainable seafood production from fisheries and aquaculture, decarbonising international shipping, scaling up offshore wind power and conserving and restoring mangroves — yields $5 in return, often more. A blue boost to our global recovery efforts will benefit all oceanic nations regardless of size or wealth and can make a substantial contribution to meeting carbon-reduction targets. A sustainable ocean economy brings health and social benefits, as well as economic and environmental ones. It means enhanced food security and better diets, improved air quality, greater resilience in the face of storm surges and natural disasters, and the development of more sustainable jobs in tourism and fisheries. Our own countries, Palau and Norway, have long looked to the ocean for our prosperity. Now, in the face of the impact of the Covid-19 crisis, we encourage others to see the ocean as a solution to many challenges facing humanity rather than simply a victim of human activity. Erna Solberg Prime Minister of Norway Oslo, Norway Tommy Remengesau Jr President of Palau Ngerulmud, Palau Co-chairs, High Level Panel for a Sustainable Ocean Economy.   Erna SolbergPrime Minister of NorwayOslo, Norway Tommy Remengesau JrPresident of PalauNgerulmud, PalauCo-chairs, High Level Panel for a Sustainable Ocean Economy","https://www.regjeringen.no/en/historical-archive/solbergs-government/Ministries/smk/speeches-and-articles/statsministeren/talerogartikler/2020/ocean-action-offers-blue-boost-for-recovery/id2724407/"
"7"," PM Solbergs statement at Coronavirus Global Response Summit ",2020-05-04,"Thank you, Ursula. Good afternoon, everyone. This conference is an expression of one key fact: That a global health crisis can only be pushed back through solidarity, and true partnership between governments, strong multilateral institutions, civil society and the private sector. As long as the virus is active somewhere, we are at risk everywhere.: to protect ourselves, we must protect each other.  Today marks a turning-point in how we combat the pandemic. This is the beginning of a global movement barely seen before. Through the partnerships launched today, we will intensify the search for a vaccine. We will strengthen the search for effective treatment and increase our diagnostic capacities. And we will make sure that the achievements are fairly distributed and universally available. These partnerships must also be with us when we recover. We should be guided by the Sustainable Development Goals, including the commitment to leave no-one behind. Norway supports the leadership of WHO. Without WHO, an effective and coordinated response to the pandemic will not be possible. Multilateral cooperation is more important than ever. We pledge an additional 50 million kroner to the WHO. Further, we commit to support global Covid-19 efforts directed to the poorest and most vulnerable. We will develop and detail our response in the coming weeks and months Norway funds the development of a vaccine through CEPI and will increase our support with 220 million US Dollars – and we do so together with other committed states and actors. But as we all know, developing the tools only gets us half way. In order to save lives, vaccines, treatment and diagnostic tools must be made available to all GAVI plays a vital role in making vaccines, including a COVID-19 vaccine when ready, available to poor countries and vulnerable groups. Norway pledges 1 billion US Dollars to Gavi for the next strategic period, including 400 mill USD to the International Finance Facility for Immunisation (IFFIm). As co-leader of today’s event, I will work to mobilise resources and political commitment. For fair access and distribution of vaccines. Together we will reach our goals of a safer and more sustainable future for all. Thank you.","https://www.regjeringen.no/en/historical-archive/solbergs-government/Ministries/smk/speeches-and-articles/statsministeren/talerogartikler/2020/pm-solbergs-statement-at-coronavirus-global-response-summit/id2701044/"
"8"," Climate Ambition Summit ",2020-12-12,"Five years ago, we agreed on the Paris Agreement and its long-term goals. Best available science tells us: To reach the temperature target, deep cuts in global emissions are needed, fast. Norway submitted its enhanced NDC in February. As one of the first countries. We will cut emissions by at least 50% by 2030, aiming towards 55% below 1990 levels. We seek to cooperate with the EU to accomplish this. We are in process of strengthening our domestic policies to reduce emissions. They will continue to build on general carbon pricing as one of our most important measures. This will give a strong and predictable signal to reduce emissions across sectors. More than 80 per cent of Norway's emissions are covered by the European emissions trading system or subject to carbon taxes.  We recently submitted our Low Emission Strategy. Our goal is to become a low emission society by 2050. The strategy sets out our path to get there. Norway is proud to lead on climate action. But enhanced NDCs are required from all, especially big emitters. Through strengthened ambition, cooperation and support we can deliver the goals of the Paris agreement together.","https://www.regjeringen.no/en/historical-archive/solbergs-government/Ministries/smk/speeches-and-articles/statsministeren/talerogartikler/2020/climate-ambitions-summit/id2791361/"
"9"," Stronger Nordic cooperation in a stronger UN ",2020-09-20,"The growing polarisation within and between countries is deeply worrying. It is becoming increasingly clear that progressive countries must step forward and take greater responsibility for protecting the multilateral system. The Nordic countries are seeking to work together more closely within the UN and we are committed to shouldering our responsibility with the EU and other like-minded stakeholders around the world. Seventy-five years ago, in the wake of two devastating world wars, the nations of the world agreed to cooperate and resolve conflicts within a rules-based global order. The UN has gradually developed into an organisation that addresses a wide range of global issues, including poverty reduction, sustainable development, human rights, equality, trade, climate change and the environment – based on a common belief that the major challenges of our time can only be dealt with through international cooperation. While there are many positive achievements to look back on over the last 75 years, we would like to take this opportunity to look to the future. The Nordic countries want to see a stronger UN and we stand together in supporting international cooperation. During the UN high-level meeting tomorrow, all 193 Member States will adopt a joint declaration. The declaration promotes a more agile, accountable and effective United Nations. The Nordic countries fully support the declaration and we will further strengthen our engagement to ensure its implementation in the following areas: A stronger and reformed UNThe UN needs to be better equipped to hold countries that violate international law accountable. The UN has shown leadership in the international response to the COVID-19 pandemic, but the crisis has highlighted the need for a stronger multilateral system that will be better able to meet the needs of tomorrow. We support Secretary-General Guterres’ ambitions to make the UN more efficient. Our collective security depends upon all countries doing their part to safeguard the rules-based world order and participating proactively in multilateral cooperation. Support to the UN to address the ongoing pandemicThe COVID-19 pandemic has made it abundantly clear that we must take care of each other if we are to get through this. We have a joint responsibility to strengthen global health systems, contribute to global health security and promote healthier societies. We fully support the efforts of the UN, the WHO and Gavi, the Vaccine Alliance to ensure fair global access to a COVID-19 vaccine. Universal values of human rights, democracy, the rule of law and gender equality form the heart of Nordic thinking, and these should be an integral part of the effort to fight COVID-19 and realise the 2030 Agenda. A sustainable recoveryThe global recovery following the COVID-19 pandemic must be used to build back better, stronger and greener. We strongly support better implementation of the 2030 Agenda and the Paris Agreement. We are determined to work for a green and sustainable transition in our own Nordic region and globally, especially in the poorest and most vulnerable countries. We need to equip the population with the right skills to meet the demands of a new labour market. A fair and inclusive recoveryEfforts to promote a more gender-equal and equitable world must also be intensified. The UN needs more measures to counter systematic inequalities that divide our societies. The approach to sustainable socio-economic recovery must be guided by fairness and inclusiveness, leaving no one behind. We are stepping up our work to safeguard human rights, including women’s rights, not least with regard to sexual and reproductive health. Promoting the economic empowerment of women must be at the core of the strategy to restart economic growth and job creation. Strengthening common securityThe UN has played a central role in enhancing our common security through activities such as preventive diplomacy and peacekeeping operations over the past 75 years. With Norway on the Security Council in 2021–2022, the Nordic countries can once again help promote a more effective and transparent Security Council. The Nordic countries share a long tradition of conflict resolution and conflict prevention. We will continue to push for implementation of the agenda for women, peace and security, which was adopted 20 years ago. In light of our strong focus on humanitarian action, we will also continue our efforts to ensure that those in distress receive the urgent help they need. Seventy-five years after Hiroshima and Nagasaki, and 50 years after the entry into force of the Non-Proliferation Treaty (NPT), the importance of nuclear disarmament to our common security remains as relevant as ever. The global arms control architecture is under pressure, with countries in breach of previous agreements and expanding their nuclear arsenals. Solutions must be based on multilateral cooperation, with the NPT as the cornerstone for efforts on nuclear disarmament.  The current pandemic has made it obvious that greater cooperation is called for. We have the chance to choose a path that capitalises on the current opportunities to rebuild our societies to provide a gender-equal, equitable, peaceful, climate-friendly and sustainable future for coming generations. This is the path the Nordic countries wish to pursue. Strengthening the UN and international cooperation is crucial for our collective security and safety, our prosperity and our common interests. Current and future generations should expect nothing less.  Let us reaffirm our commitment to the core values on which the UN was founded and help build a safer and better future for the generations to come, one that brings prosperity for all. We are stronger together.","https://www.regjeringen.no/en/historical-archive/solbergs-government/Ministries/smk/speeches-and-articles/statsministeren/talerogartikler/2020/stronger-nordic-cooperation-in-a-stronger-un/id2765678/"
"10"," Norway's statement at the United Nations General Assembly ",2020-09-26,"Excellencies, Ladies and gentlemen, The United Nations was founded on hope – the hope for a better tomorrow in the aftermath of war. As we meet today, 75 years later, COVID-19 is putting us all to the test: Will we tackle the largest global challenge since the UN was established? Building on the lessons from other crises and infectious diseases, Norway continues our unwavering commitment to the UN and multilateral solutions. In response to the pandemic, we took the initiative to establish a UN COVID-19 response and recovery fund, and we are co-chairing the global effort on access to COVID-19 tests, treatments and vaccines – the ACT Accelerator. We stand firm in our conviction that global problems need global solutions.   President, The goal of the UN is a world of peace and security. A world ruled by justice and respect for human rights. A world that acts decisively to reduce inequality, poverty and hunger. Acts to stem climate change. And acts to build resilience against pandemics and other global threats. We celebrate 75 years of the United Nations. In the next seventy-five years, how many new conflicts will emerge? How many new refugees will flee from destruction and persecution? How many girls will attend school? How many children will be vaccinated? Whatever old challenges remain and new challenges arise in the next 75 years, the UN must be at the center of our coordinated efforts. This is why we continue to invest both financially and politically in this organization. I would like to pay tribute to the many deeply committed women and men who represent the United Nations across the globe. Civilian as well as uniformed. You deserve our gratitude and respect.   President, In June, Norway was elected as one of five incoming members of the UN Security Council. We are grateful for the strong vote of confidence from the member states. We are preparing for this assignment fully aware that it is one of the most important and demanding tasks in international politics. Throughout our campaign, we strengthened bilateral bonds with all UN member states. We pledged to listen and engage. To be open for dialogue with all countries. We will honor that commitment. In addressing country situations on the Security Council’s agenda, Norway will focus on four thematic areas in particular. First, we will use our experience from peace diplomacy to help fulfil the UN’s untapped potential to prevent and resolve conflicts and sustain peace. Second, we will build on the women, peace and security agenda and promote women’s participation in peace processes. Only an inclusive process can lead to sustainable peace for all. Third, Norway will focus on the protection of civilians, including children, based on international humanitarian and human rights law. We will give special priority to preventing and combating sexual violence in conflict. Fourth, Norway will bring climate-related security threats into the discussion. We must acknowledge that people living in conflict zones are among the most vulnerable to climate change, and that climate change in turn increases the risk of conflict. The Security Council has a primary responsibility for maintaining international peace and security. The Council should investigate any dispute or situation that might lead to international friction. And the Council should apply appropriate measures to stop aggression or prevent escalation of conflict. This is at the heart of the Security Council, and at the heart of the UN. Because there can be no development without peace.   President, Human rights, the rule of law and democratic principles are the building blocks of just, peaceful and prosperous societies. Societies where citizens are protected and leaders are held accountable. Today, we are witnessing a different trend towards more authoritarianism and populism. Civil society, human rights defenders and media workers are increasingly coming under attack. The basic human rights of women are being undermined. Minorities are being targeted and vilified. The pandemic is amplifying this negative trend. We have seen examples of the pandemic being used as a pretext to weaken democratic principles and human rights. The pandemic is an exam in practical governance for all states. The report card will be open for the world to see. We must ensure that human rights, democracy, the rule of law, and gender equality are at the core of our response and recovery efforts. Only then can we hope not only to soften the fall, but to build back better.   President, I am shocked and saddened by the increase in violence against women and girls as a result of ongoing lockdowns across the world. Women are bearing the brunt of the pandemic in many societies. Women are on the front line as health care workers. At the same time, women’s own access to health care is heavily affected. Denying women access to sexual and reproductive health services can lead to more maternal deaths, more teenage pregnancies and more child marriages. We must ensure that women and girls are protected. That they have access to health care. And that women have access to financial incentives for response and recovery. Norway has a long tradition of promoting women's rights and gender equality.  We know from our own experience that it is not just the right thing to do – it is the smart thing to do. Gender equality is well worth the investments. If we are to achieve the UN Sustainable Development Goals, gender equality must be integrated in all our efforts. We must invest in girls and women. In their education, in their health, and in their participation in the labour market. Increasing their opportunities and leveling the playing field pays great economic dividends.   President, Eradicating poverty is the greatest global challenge. The 2030 Agenda for Sustainable Development is our plan of action for people, for the planet and for prosperity. There is a danger that this pandemic may reverse years of progress on the SDGs. It has laid bare the weaknesses in our common systems. Extreme poverty is increasing, jobs are being lost at an unprecedented scale, and children are being deprived of their education. We have no alternative but to take decisive action now, and redouble our efforts to reach the sustainable development goals.  In our continued quest to achieve these goals, national ownership and resource mobilization is crucial. Progress requires financing. We acknowledged this in the Addis Ababa Action Agenda on financing for development. Funding sustainable development is more critical now than ever. The pandemic has exposed and compounded structural inequalities in all countries. Our response must focus on helping those furthest behind.  The Addis Agenda highlights the importance of domestic resource mobilization in order to provide basic public goods and services. Yet public goods and services, such as health care and education, remain underfunded. We need to stop the drain on public resources. We must prevent corruption, tax evasion and other financial crime. To this end, Norway in its capacity as ECOSOC President launched a High-Level Panel on Financial Accountability, Transparency and Integrity – the FACTI panel – together with the President of the 74th General Assembly. The Panel will review current challenges and offer recommendations related to illicit financial flows. It is a common responsibility of all member states to make sure there are no safe havens for the proceeds of crime, corruption or tax evasion.    President, We need a healthy planet to fulfill the SDGs. Many member states are facing climate related disasters – more frequent and more dangerous than ever before. The most vulnerable among us are hardest hit. The threat to small island states is existential. The people in the Sahel are among the most vulnerable to the adverse effects of climate change. Yet they are among the world’s lowest emitters of CO2.  It is our common obligation to invest in resilience, especially in the parts of the world most adversely affected by climate change. 2020 remains the crucial year for countries to update and strengthen their national climate targets under the Paris Agreement. In February, Norway submitted an enhanced climate target for 2030. I encourage other countries to enhance their ambitions, especially the large economies. We must also give priority to further development of rules and cooperation under the Paris Agreement Norway is actively speeding up the green shift in our economy, making it cheaper to be green, and more expensive to pollute.   President, The oceans are a vital factor if we are to reach the Sustainable Development Goals. The COVID-19 crisis has underlined the importance of the ocean economy. We need to build back not only better and greener, but also bluer. A sustainable ocean economy holds benefits for health and society, as well as for the global economy and environment. Every dollar invested in key ocean actions yields 5 dollars in return, often more. Actions include increasing sustainable seafood production, decarbonising international shipping, scaling up offshore wind power and conserving and restoring mangroves. Responsible resource management increases the potential for economic growth. Two years ago, I convened the High-level Panel on Building a Sustainable Ocean Economy, together with the president of Palau. The panel is comprised of fourteen distinguished members. On December 3rd we will present ways forward to better protect our ocean and release the enormous economic potential it holds. Our recommendations are based on the best advice from more than 150 international scientists and a wide network of business and NGOs. We will invite the international community to join this call for ocean action leading up to the UN Ocean Conference in Lisbon next year.   President, I would like to draw attention to the challenges seafarers are facing in this crisis.  Around 500,000 seafarers currently await to disembark or embark ships and vessels globally.  Almost 80 % of the world’s trade is transported by ship, including food, medical equipment and energy products. If the crisis persists, it can lead to major disruption of global trade, supply chains and the world economy.  I encourage all member states to designate seafarers as key workers and to implement the International Maritime Organisation´s protocols for crew changes.   President, COVID-19 is putting us all to the test. Information, research, treatment and vaccines must be shared in a way that leaves no-one behind. If not, we all stand to lose. I started by saying that the United Nations was born out of hope. While we can always do better, I find hope in the way we have come together in this race against time. We are united against a common enemy. We have been reminded of a simple fact: We are in this together. - There is no stronger argument for our continued support for the United Nations. Thank you, and stay safe","https://www.regjeringen.no/en/historical-archive/solbergs-government/Ministries/smk/speeches-and-articles/statsministeren/talerogartikler/2020/norges-hovedinnlegg-under-fns-generalforsamling/id2766169/"
