"","topics","dates","speeches","links"
"1","PM to chair COBR meeting on the coronavirus outbreak",2020-03-02,"Prime Minister Boris Johnson will today (Monday 2 March) chair a meeting of the government emergency COBR committee on the coronavirus outbreak. The Committee will discuss, finalise and sign off a battle plan containing a detailed set of countermeasures. The Prime Minister will tell the meeting, which will be attended by senior ministers as well as Chief Medical Officer and Chief Scientific Advisor: The number of coronavirus cases around the world is rising every day - and the UK is no exception. There now seems little doubt that it will present a significant challenge for our country. But we are well prepared, and the government and the NHS will stop at nothing to fight this virus. This battle plan lays out in detail the measures we could use - if and when they are needed. COBR has been meeting regularly on this issue since January and will be held as often as needed. As the number of cases in the UK is expected to rise, the action plan will help ensure Government is doing everything it can and can adapt quickly to changing circumstances. Over the past few days, the Prime Minister has been in regular contact with the Chief Medical Officer and Cabinet Ministers at the heart of monitoring and responding to the virus here in the UK, including the Health Secretary and Foreign Secretary. The Prime Minister has also been visiting NHS staff who may be on the frontline, such as those in Kettering General Hospital last week, where he saw their new coronavirus pod, a special sterile cabin outside the hospital, where people can come to be checked. Yesterday, he saw Public Health England’s lab in Colindale, one of a number of labs across the UK where tests are carried out to confirm or rule out coronavirus. He then headed to Royal Free Hospital to meet with staff who are treating patients with the virus. The PM and Health Secretary thank the NHS staff and healthcare professionals for their tremendous work and dedication in responding to this. A war room will also be up and running in the Cabinet Office, bringing together communications experts from across government and the NHS to roll out the public information campaign and respond quickly to cross-cutting issues.","https://www.gov.uk/government/news/pm-to-chair-cobr-meeting-on-the-coronavirus-outbreak"
"2","Sick pay from day one for those affected by coronavirus",2020-03-04,"","https://www.gov.uk/government/news/sick-pay-from-day-one-for-those-affected-by-coronavirus"
"3","PM announces new funding in fight against spread of coronavirus",2020-03-06,"The global race to find a vaccine for coronavirus will be bolstered by support announced by the Prime Minister today, funded by the UK’s international development budget. The global race to find a vaccine for coronavirus will be bolstered by support announced by the Prime Minister today, funded by the UK’s international development budget. Supported by UK funding, eight possible coronavirus vaccines are currently under development and efforts are being made to get any viable vaccines from sequencing of the virus to clinical testing in under a year - a record timeframe. Governments around the world could then work with pharmaceutical companies to get vaccines into production and use. Today’s additional support will bring the UK’s investment into COVID-19 research to £65 million. UK experts are leading the scientific and medical response to the global coronavirus outbreak and the UK was one of the first countries to establish a laboratory test for the virus. However, no country has yet found a method of diagnosing coronavirus without sending samples to a lab for testing – a process that can take several days. Today the Prime Minister visited Mologic lab in Bedfordshire which is using UK aid funding to develop rapid diagnostic test devices for coronavirus to allow medical professionals or potentially even individuals at home to identify the disease quickly without relying on specialist facilities. This will mean patients can be treated more quickly, reducing the risk of them passing the virus onto others and helping them to recover quickly. The lab is building on extensive experience creating similar tests for other infections. Efforts to develop a diagnostic test form part of the Government’s work to limit the spread of the virus, investing in and informed by scientific research. A rapid diagnostic test can also be used by countries around the world that are not currently able to diagnose the virus at all. Low-income countries without the medical infrastructure to conduct laboratory tests or who do not have access to the necessary reagents are not able to differentiate coronavirus from other common causes of fever such as other bacterial, viral and parasitic infections. The majority of cases in those countries are therefore going unchecked, increasing the risk of the virus spreading both locally and around the world. To ensure access to the technology, the test will therefore be jointly manufactured in the UK and Senegal — the first time a diagnostic has been produced in the continent, supported by UK aid funding. Today’s announcement builds on the plan set out by the Prime Minister earlier this week to tackle coronavirus in the UK. The Government is doing everything possible, based on the advice of world-leading scientific experts, to prepare for all eventualities. This plan has four strands - containing the virus, delaying its spread, researching its origins and cure, and mitigating the impact should the virus become more widespread. Today’s funding package, which includes support for the World Health Organization’s Flash Appeal, will also help vulnerable countries prepare for the spread of the disease in other ways. UK-funded infectious disease experts are working in developing countries which have large urban populations and transport links to the UK and to China and other countries experiencing large outbreaks. Experts will support countries to prepare for and respond to suspected cases, for example by creating effective isolation zones. International efforts are being coordinated by a new UK Government Coronavirus International Taskforce, bringing together expertise from the Department for International Development and the Foreign and Commonwealth Office. Coronavirus is the biggest threat in countries whose healthcare systems are unable to cope with large outbreaks. Ensuring those countries have mechanisms in place will prevent a surge of cases which would also present risks to us at home. Today’s announcement brings the UK’s total support to fight the virus internationally to £91 million. Prime Minister Boris Johnson said: Keeping the British people safe is my number one priority, and that’s why I’ve set out our four-part plan to contain, delay, mitigate and research coronavirus. We are ensuring the country is prepared for the current outbreak, guided by the science at every stage. But we also need to invest now in researching the vaccines that could help prevent future outbreaks. I’m very proud that UK experts – backed by government funding – are on the front line of global efforts to do just that. International Development Secretary Anne-Marie Trevelyan said: The UK is well-prepared to respond to potential cases of coronavirus at home, but a global response is needed to effectively combat the disease. We are investing UK aid and using the best of British expertise and science to find new ways to vaccinate against, treat and diagnose the virus, and to support global efforts to prevent further outbreaks around the world. Every action that we take to prevent the virus spreading makes the UK safer. Government Chief Scientific Officer Sir Patrick Vallance said: Rapid testing is going to be key to managing this outbreak, but ultimately vaccines are going to provide the long-term protection we need. The UK has some of the world’s leading scientists and this money will help in our fight to tackle this new disease. Director-General of the World Health Organization Dr Tedros Adhanom Ghebreyesus said: The United Kingdom’s support for the global response to the new coronavirus outbreak will protect the health of people in many parts of the world, from assisting countries with fragile health systems to fuelling the fight to find a vaccine. At this critical time in the battle against COVID-19, the WHO is grateful for the UK’s solidarity and commitment to keeping people safe at home and around the world. It comes ahead of the UK hosting the “Global Vaccine Summit 2020” in June, demonstrating the UK’s leadership in global health security. The package of £46 million announced today is made up of: ENDS General media queries (24 hours) 
          Email mediateam@dfid.gov.uk
         
          Telephone 020 7023 0600
         If you have an urgent media query, please email the DFID Media Team on mediateam@dfid.gov.uk in the first instance and we will respond as soon as possible.","https://www.gov.uk/government/news/pm-announces-new-funding-in-fight-against-spread-of-coronavirus"
"4","Prime Minister's statement on coronavirus (COVID-19): 9 March 2020",2020-03-09,"This morning I chaired a meeting of the government’s COBR emergency committee on the Coronavirus outbreak. The First Ministers of Scotland and Wales and the First Minister and deputy First Minister of Northern Ireland also attended and we agreed to continue to work closely in the weeks and months ahead. We received a detailed briefing from the Chief Medical Officer and the Chief Scientific Advisor. And again I repeat my gratitude to both Chris and to Patrick. There have now been four deaths from coronavirus in the UK, and our deepest sympathies are obviously with their friends and families. Our action plan as you know sets out the four phases of our approach to tackling the virus: Contain, Delay, Research, and Mitigate. We remain in the Contain phase of the outbreak, but watching what is happening around the world, our scientists think containment is extremely unlikely to work on its own, and that is why we are making extensive preparations for a move to the delay phase. We are preparing various actions to slow the spread of this disease in order to reduce the strain it places on the NHS. The more we can delay the peak of the spread to the summer, the better the NHS will be able to manage. Patrick and Chris will give you some more detailed information on the latest advice we are giving the public today - and how we expect that advice to change as the outbreak develops. As things stand I’m afraid it bears repeating that the best thing we can all do is wash our hands for 20 seconds with soap and water. We will also take questions, because I know there are lots of things the public want to hear from our advisors about. But before that I want to stress the following things: First, we are doing everything we can to combat this outbreak, based on the very latest scientific and medical advice. Second, we have a truly brilliant NHS, where staff have responded with all the determination, compassion and skill that makes their service so revered across the world. And they will continue to have this government’s full support, my support, in tackling this virus on the frontline. Third, we will set out further steps in the days and weeks ahead to help people protect themselves, their family and in particular the elderly and vulnerable. And finally, while it is absolutely critical, it’s absolutely critical in managing the spread of this virus that we take the right decisions at the right time, based on the latest and best evidence. So we must not do things which have no or limited medical benefit, nor things which could turn out to be counterproductive. There is no hiding from the fact that the coronavirus outbreak will present significant challenges for the UK, just as it does in other countries. But if we continue to look out for one another, to pull together in a united and national effort, I have no doubt that we can and will rise to that challenge. And I’m now going to ask Patrick and then Chris to give their own perspective on where we are.","https://www.gov.uk/government/speeches/pm-statement-on-coronavirus-9-march-2020"
"5","Prime Minister's statement on coronavirus (COVID-19): 12 March 2020",2020-03-12,"Good afternoon everybody and thank you very much for coming. I’ve just chaired a meeting of the government’s emergency committee including ministers from Scotland, Wales and Northern Ireland. And it’s clear that coronavirus, COVID-19, continues and will continue to spread across the world and our country over the next few months. We’ve done what can be done to contain this disease and this has bought us valuable time. But it is now a global pandemic. And the number of cases will rise sharply and indeed the true number of cases is higher - perhaps much higher - than the number of cases we have so far confirmed with tests. I’ve got to be clear, we’ve all got to be clear, that this is the worst public health crisis for a generation. Some people compare it to seasonal flu. Alas, that is not right. Owing to the lack of immunity, this disease is more dangerous. And it’s going to spread further and I must level with you, level with the British public, many more families are going to lose loved ones before their time. And the Chief Scientific Adviser will set out the best information we have on that in a moment. But as we’ve said over the last few weeks, we have a clear plan that we are now working through. And we are now moving to the next phase in that plan. Because this is now not just to attempt to contain the disease as far as possible, but to delay its spread and thereby minimise the suffering. If we delay the peak even by a few weeks, then our NHS will be in a stronger state as the weather improves and fewer people suffer from normal respiratory diseases, more beds are available and we’ll have more time for medical research. We can also act to stretch the peak of the disease over a longer period so that our society is better able to cope. The Chief Medical Officer will set out our lines of defence. We have to deploy these at the right time to maximise their effect. The most important task will be to protect our elderly and most vulnerable people during the peak weeks when there is the maximum risk of exposure to the disease and when the NHS will be under the most pressure. So the most dangerous period is not now but some weeks away depending on how fast it spreads. Today therefore we are moving forward with our plan. From tomorrow, if you have coronavirus symptoms, however mild – either a new continuous cough or a high temperature – then you should stay at home for at least 7 days to protect others and help slow the spread of the disease. We advise all those over 70 and those with serious medical conditions against going on cruises and we advise against international school trips. At some point in the next few weeks, we are likely to go further and if someone in a household has those symptoms, we will be asking everyone in the household to stay at home. We are not introducing this yet for reasons Sir Patrick will explain, but I want to signal now that this is coming down the track. We are considering the question of banning major public events such as sporting fixtures. The scientific advice as we’ve said over the last couple of weeks is that banning such events will have little effect on the spread. But there is also the issue of the burden that such events can place on public services. So we’re discussing these issues with colleagues in all parts of the United Kingdom and will have more to say shortly about the timing of further action in that respect. At all stages, we have been guided by the science, and we will do the right thing at the right time. We are not - repeat not - closing schools now. The scientific advice is that this could do more harm than good at this time. But we are of course keeping this under review and this again may change as the disease spreads. Schools should only close if they are specifically advised to do so. And that remains our advice. There is no escaping the reality that these measures will cause severe disruption across our country for many months. The best scientific advice is that this will help us slow the disease and save lives. There will be detailed information available on the NHS website and from 111 online. But I want to stress something that is very important in the wake of what we’re saying this afternoon – I urge people, who think in view of what we’re saying about their potential symptoms that they should stay at home, not to call 111 but to use the internet for information if they can. I also want at this stage to speak directly to older people. Because this disease is particularly dangerous for you, for older people, even though the vast majority this will be a mild to moderate illness, I know that many people will be very worried. And I think we should all be thinking about our elderly relatives, the more vulnerable members of their family, our neighbours, and everything we can do to protect them over the next few months. We’re going to need to mobilise millions of people to help and support each other. And I just want to you to know that the government will do all we can to help you and your family during this period. We’re not just going to be as you saw yesterday supporting the economy during this period, we will be providing money and many other forms of support, and helping communities to support each other. And as we have done over the last few weeks, we will continue to provide, as soon as we have it, as much clear scientific and medical information as we can. So I’d like to end by repeating the two important messages, with which you will have become familiar – it is still vital, perhaps more vital than ever – that we remember to wash our hands. And lastly of course even if things seem tough now, just to remember, that we will get through this, this country will get through this epidemic, just as it has got through many tougher experiences before if we look out for each other and commit wholeheartedly to a full national effort.","https://www.gov.uk/government/speeches/pm-statement-on-coronavirus-12-march-2020"
"6","PM call with Prime Minister of Australia Scott Morrison: 14 March 2020",2020-03-14,"The Prime Minister spoke to Australian Prime Minister Scott Morrison this morning to discuss the coronavirus pandemic. The two leaders updated each other on their countries’ respective responses to the virus and agreed on the need to take a science based approach to mitigate its impact. The Prime Minister and Prime Minister Morrison also agreed on the need for international coordination as the crisis continues, particularly to ensure countries have access to the healthcare equipment and supplies they need to tackle the outbreak. Finally they resolved to work closely, including through the G20, on efforts to prevent long term economic damage from coronavirus which would further impact people’s lives.","https://www.gov.uk/government/news/pm-call-with-prime-minister-of-australia-scott-morrison-14-march-2020"
"7","PM call with President Trump: 14 March 2020",2020-03-14,"The Prime Minister spoke to President Trump this evening. They discussed the coronavirus pandemic and the action being taken to stop the spread of the virus. The Prime Minister set out the science-led approach the UK is taking. Ahead of a call with G7 leaders on the outbreak the Prime Minister and the President agreed on the importance of international coordination to accelerate progress on the development of a vaccine and to prevent economic disruption for our citizens. The leaders also paid tribute to the Coalition soldiers who lost their lives in the deplorable attack on the Taji military base last week, including British servicewoman Lance Corporal Brodie Gillon, and committed to stand shoulder-to-shoulder in Iraq to help the country resist the malign activity of terrorists.","https://www.gov.uk/government/news/pm-call-with-president-trump-14-march-2020"
"8","PM call with Prime Minister Abe: 15 March 2020",2020-03-15,"The Prime Minister spoke to Japanese Prime Minister Abe about the coronavirus pandemic. The leaders updated each other on their countries’ efforts to curb the spread of the virus. The Prime Minister stressed the importance the UK is placing on taking a science-led approach when deciding what measures to implement. The Prime Minister and Prime Minister Abe agreed on the importance of international coordination to tackle the virus and its wider impact, particularly on the global economy, and they looked forward to the call between G7 leaders to discuss this. The Prime Minister and Prime Minister Abe also discussed the UK and Japan’s efforts to combat climate change ahead of COP26 in Glasgow later this year.","https://www.gov.uk/government/news/pm-call-with-prime-minister-abe-15-march-2020"
"9","PM call with Crown Prince Mohammed bin Salman: 15 March 2020",2020-03-15,"The Prime Minister spoke to Saudi Arabian Crown Prince Mohammed bin Salman this afternoon about the coronavirus pandemic. The Prime Minister updated the Crown Prince on the steps the UK is taking, driven by scientific advice, to tackle the spread of the virus. Both leaders agreed on the need for an internationally coordinated response to the outbreak, particularly on developing a vaccine and limiting the economic disruption caused by the pandemic. They resolved to work closely on this, including through the G20 Presidency which Saudi Arabia holds this year.","https://www.gov.uk/government/news/pm-call-with-crown-prince-mohammed-bin-salman-15-march-2020"
"10","Prime Minister to lead cross-government drive to defeat coronavirus",2020-03-15,"New daily press conferences to keep public informed on how to protect themselves Meetings with manufacturing industry and calls with international leaders will drive forward efforts to curb the virus UK leading international efforts to develop a coronavirus vaccine and produce the medical equipment needed to help people recover From tomorrow daily press conferences will be hosted by the Prime Minister and senior Ministers on the coronavirus pandemic, supported by scientific and medical experts including the Chief Medical Office and Chief Scientific Adviser. The press conferences form part of the government’s commitment to clarity and transparency in order to ensure British people are fully informed about the steps they can take to protect themselves and others. A Downing Street spokesperson said: The Prime Minister and this Government are committed to keeping the public informed every step of the way about what we’re doing to fight the spread of coronavirus, when we’re doing it and why we’re doing it. At all times we will be led by the science to bring forward the right responses at the right time to this global pandemic. On Monday morning the Prime Minister will speak to British manufacturers including Unipart Group to ask them to support production of essential medical equipment for the NHS. He will stress the vital role of Britain’s manufacturers in preparing the country for a significant spread of coronavirus and call on them to step up and support the nationwide effort to fight the virus. A Downing Street spokesperson said: Preparing for the spread of the coronavirus outbreak is a national priority and we’re calling on the manufacturing industry and all those with relevant expertise who might be able to help to come together to help the country tackle this national crisis. We need to step up production of vital equipment such as ventilators so that we can all help the most vulnerable, and we need businesses to come to us and help in this national effort. On Monday afternoon the Prime Minister will also chair another meeting of the COBR emergency committee to coordinate the government’s ongoing response to coronavirus. The meeting is expected to include discussion on current modelling of the outbreak and next steps on plans around shielding elderly and vulnerable people, household isolation and mass gatherings. Following his calls over the last few days with world leaders including President Trump, Chancellor Merkel, Prime Minister Abe, Prime Minister Conte and Crown Prince Mohammad bin Salman the Prime Minister will continue his engagement with international partners to ensure a coordinated global response to the outbreak. Tomorrow all G7 leaders will participate in a call  to discuss international efforts. The Prime Minister will encourage fellow leaders to support the World Health Organization response, provide funding and expertise for research that can ensure rapid progress to develop a vaccine, and drive forward support to mitigate the economic impacts of the crisis. In the past few weeks the UK has shown leadership by providing up to £150 million to the IMF’s Catastrophe Containment and Relief Trust to support the economies of developing countries affected by the virus, £50 million for the Centre for Epidemic Preparedness Innovations which is leading the global research and development of a vaccine, £25 million for further research into the virus including to develop a rapid test, and £10 million for the WHO’s flash appeal for the outbreak.","https://www.gov.uk/government/news/prime-minister-to-lead-cross-government-drive-to-defeat-coronavirus"
